ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8472-029-001,"15006 HAYLAND ST, LA PUENTE CA 91744-1940",Single Family Residence,286033,1950,3,2,1375,16229,CURRENT,34.0416840756,-117.954153868
8472-029-002,"15010 HAYLAND ST, LA PUENTE CA 91744-1940",Single Family Residence,460814,1916,2,1,1125,16314,CURRENT,34.0415350469,-117.953949917
8472-029-003,"15018 HAYLAND ST, LA PUENTE CA 91744-1940",Single Family Residence,736917,1955,4,1,1416,16323,CURRENT,34.0413848618,-117.953745705
8472-029-004,"15028 HAYLAND ST, LA PUENTE CA 91744-1940",Single Family Residence,224242,1950,1,1,1066,16258,CURRENT,34.0412349717,-117.953541073
8472-029-008,"15009 BLACKWOOD ST, LA PUENTE CA 91744-1919",Single Family Residence,60696,1953,5,1,1368,16345,CURRENT,34.041125752,-117.954380986
8472-029-009,"15021 BLACKWOOD ST, VALINDA CA 91744-1919",Single Family Residence,63556,1949,2,1,973,16412,CURRENT,34.040975844,-117.95417639
8472-029-010,"15027 BLACKWOOD ST, LA PUENTE CA 91744-1919",Multi-Family Residence,368372,1938,2,2,1955,16445,CURRENT,34.0408253623,-117.953972097
8472-029-011,"15037 BLACKWOOD ST, LA PUENTE CA 91744-1919",Single Family Residence,275439,1954,3,2,1050,7451,CURRENT,34.0406532065,-117.953862402
8472-029-012,"15049 BLACKWOOD ST, LA PUENTE CA 91744-1919",Single Family Residence,210913,1954,4,3,1440,6138,CURRENT,34.0403907751,-117.953627949
8472-029-013,"1013 ALDGATE AVE, LA PUENTE CA 91744-1904",Single Family Residence,226649,1954,4,3,1300,6149,CURRENT,34.040599115,-117.953540137
8472-029-014,"1019 ALDGATE AVE, LA PUENTE CA 91744-1904",Single Family Residence,495701,1954,3,2,1050,8667,CURRENT,34.0407474021,-117.953492715
8472-029-015,"15043 BLACKWOOD ST, LA PUENTE CA 91744-1919",Single Family Residence,412949,1954,3,2,1050,6037,CURRENT,34.0405009075,-117.953779908
8472-029-016,"15001 BLACKWOOD ST, LA PUENTE CA 91744-1919",Single Family Residence,53695,1962,3,2,1160,8146,CURRENT,34.0413778374,-117.954477225
8472-029-017,"15003 BLACKWOOD ST, LA PUENTE CA 91744-1919",Single Family Residence,46445,1954,2,1,1174,8165,CURRENT,34.0411736254,-117.954692698
8472-029-018,"15040 HAYLAND ST, LA PUENTE CA 91744-1940",Single Family Residence,477909,1957,4,2,1260,8027,CURRENT,34.0411581682,-117.953232049
8472-029-019,"15034 HAYLAND ST, LA PUENTE CA 91744-1940",Single Family Residence,957517,1960,5,2,2067,8239,CURRENT,34.0409588061,-117.953423659
8472-029-020,"1031 ALDGATE AVE, LA PUENTE CA 91744-1904",Single Family Residence,115530,1949,2,2,1666,11897,CURRENT,34.0409957247,-117.953049484
8472-029-021,"1025 ALDGATE AVE, LA PUENTE CA 91744-1904",Single Family Residence,203138,1956,3,2,1023,6053,CURRENT,34.0407926823,-117.953262906
