"ain","address","useType","taxStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","hasFcHist"
"8448-003-001","20557 E RANCHO SAN JOSE DR, COVINA CA 91724-3540","Single Family Residence","CURRENT","1957","5","7","4742","35946","1799487","12/04/2015","755007","False"
"8448-003-002","20545 E RANCHO SAN JOSE DR, COVINA CA 91724-3540","Single Family Residence","CURRENT","1955","4","4","3842","40794","1071403",,,"False"
"8448-003-003","20529 E RANCHO SAN JOSE DR, COVINA CA 91724-3540","Single Family Residence","DELINQUENT","2020","5","7","6501","27530","2338576",,,"False"
"8448-003-004","3306 RANCHO SANTORO DR, COVINA CA 91724-3543","Single Family Residence","CURRENT","1955","3","4","3229","28742","218506","06/12/1970","54000","False"
"8448-003-005","3328 RANCHO SANTORO DR, COVINA CA 91724-3543","Single Family Residence","CURRENT","1955","3","3","2058","30220","608194","04/25/1995","355003","True"
"8448-003-006","3334 RANCHO SANTORO DR, COVINA CA 91724-3543","Single Family Residence","CURRENT","1954","3","2","2000","33355","877547","04/30/2008","655006","False"
"8448-003-007","20516 E RANCHO LOS CERRITOS RD, COVINA CA 91724-3529","Single Family Residence","CURRENT","1956","3","4","3156","30411","1242980","03/15/2017","1050010","False"
"8448-003-008",",","Vacant Land","CURRENT",,,,,"30307","738684","06/06/2024","710000","False"
"8448-003-009","20550 E RANCHO LOS CERRITOS RD, COVINA CA 91724-3529","Single Family Residence","CURRENT","1954","7","5","4446","34091","1384917","12/30/2016","1000010","False"
"8448-003-010","20560 E RANCHO LOS CERRITOS RD, COVINA CA 91724-3529","Single Family Residence","CURRENT","1965","4","4","4222","31510","967716",,,"False"
"8448-003-011","20608 E RANCHO LOS CERRITOS RD, COVINA CA 91724-3531","Single Family Residence","CURRENT","1964","4","3","2471","37709","993527","12/30/2010","589005","False"
"8448-003-012","20616 E RANCHO LOS CERRITOS RD, COVINA CA 91724-3531","Single Family Residence","CURRENT","1949","4","3","2269","31281","1082000","11/12/2025","800000","False"
