ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8492-019-001,"1161 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,495674,1965,4,2,1838,9433,CURRENT,34.053962961,-117.899471641
8492-019-002,"1153 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,90955,1965,3,2,1784,8593,CURRENT,34.0541770834,-117.899465904
8492-019-003,"1145 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,223044,1965,4,2,2121,8809,CURRENT,34.0543838586,-117.899462199
8492-019-004,"1137 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,316953,1965,4,3,2268,8454,CURRENT,34.0545890928,-117.899459844
8492-019-005,"1131 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,812405,1965,4,2,2058,8882,CURRENT,34.0547954614,-117.899456626
8492-019-006,"1125 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,147768,1965,4,2,2008,8471,CURRENT,34.0550022335,-117.899453246
8492-019-007,"1119 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,549531,1964,4,2,2056,8709,CURRENT,34.0552070946,-117.89945041
8492-019-008,"1113 S HOLLENBECK ST, WEST COVINA CA 91791-3656",Single Family Residence,750771,1964,4,2,1624,8770,CURRENT,34.0554156102,-117.899447378
