ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8505-007-013,"407 S ALTA VISTA AVE, MONROVIA CA 91016-2703",Multi-Family Residence,888781,1930,2,1,608,7572,CURRENT,34.1476828449,-118.007887642
8505-007-014,"411 S ALTA VISTA AVE, MONROVIA CA 91016-2703",Multi-Family Residence,1063222,1964,2,1,960,8267,CURRENT,34.1475415076,-118.007897938
8505-007-015,"417 S ALTA VISTA AVE, MONROVIA CA 91016-2703",Multi-Family Residence,1142998,2006,3,3,2374,8300,CURRENT,34.1473506494,-118.007895092
8505-007-018,"415 W LEMON AVE, MONROVIA CA 91016-2601",Single Family Residence,1230999,1924,4,2,1491,8002,CURRENT,34.1471999699,-118.008230151
8505-007-019,"419 W LEMON AVE, MONROVIA CA 91016-2601",Multi-Family Residence,907423,1955,2,1,804,8035,CURRENT,34.1471977998,-118.00839499
8505-007-020,"423 W LEMON AVE, MONROVIA CA 91016-2601",Single Family Residence,398845,1926,2,1,864,7949,CURRENT,34.147196009,-118.008559423
8505-007-021,"427 W LEMON AVE, MONROVIA CA 91016-2601",Single Family Residence,622750,1924,3,1,1183,8023,CURRENT,34.1471942043,-118.008723865
8505-007-022,"431 W LEMON AVE, MONROVIA CA 91016-2601",Multi-Family Residence,697851,2021,4,4,1583,7976,DELINQUENT,34.1471927823,-118.008888718
8505-007-023,"435 W LEMON AVE, MONROVIA CA 91016-2601",Single Family Residence,688842,1992,3,2,1574,7984,CURRENT,34.1471905374,-118.009053278
8505-007-024,"439 W LEMON AVE, MONROVIA CA 91016-2601",Single Family Residence,628009,1923,3,3,1326,8031,CURRENT,34.1471889071,-118.009218546
8505-007-025,"443 W LEMON AVE, MONROVIA CA 91016-2601",Multi-Family Residence,599765,1951,3,2,1391,7997,CURRENT,34.1471869829,-118.009384081
8505-007-026,"447 W LEMON AVE, MONROVIA CA 91016-2601",Multi-Family Residence,557299,1946,1,1,1105,8911,CURRENT,34.1471840204,-118.009558818
8505-007-027,"421 S ALTA VISTA AVE, MONROVIA CA 91016-5783",Multi-Family Residence,565212,1927,3,1,780,8006,CURRENT,34.1472058386,-118.007891575
8505-007-028,"407 W LEMON AVE, MONROVIA CA 91016-2601",Multi-Family Residence,218090,1956,2,1,944,8669,CURRENT,34.1470584156,-118.007888386
8505-008-001,"308 S MAYFLOWER AVE, MONROVIA CA 91016-2625",Single Family Residence,260219,1924,2,1,624,4161,CURRENT,34.1486068938,-118.009547679
8505-008-002,"306 S MAYFLOWER AVE, MONROVIA CA 91016-2625",Single Family Residence,50361,1942,1,1,578,4212,CURRENT,34.1487543684,-118.009549921
8505-008-003,"442 W PALM AVE, MONROVIA CA 91016-2631",Single Family Residence,456339,1908,3,2,1767,12516,CURRENT,34.1487593139,-118.009293539
8505-008-004,"446 W PALM AVE, MONROVIA CA 91016-2631",Single Family Residence,42818,1908,2,1,768,4283,CURRENT,34.148903988,-118.009552189
8505-008-005,"436 W PALM AVE, MONROVIA CA 91016-2631",Multi-Family Residence,988149,1932,2,1,398,8077,CURRENT,34.1487618974,-118.009083651
8505-008-006,"432 W PALM AVE, MONROVIA CA 91016-2685",Multi-Family Residence,418554,,0,0,2874,8907,CURRENT,34.1487637977,-118.008910395
8505-008-007,"428 W PALM AVE, MONROVIA CA 91016-2631",Multi-Family Residence,568612,1936,1,1,540,7282,CURRENT,34.1487657333,-118.008745126
8505-008-008,"422 W PALM AVE, MONROVIA CA 91016-2631",Multi-Family Residence,465326,1925,1,1,607,8085,CURRENT,34.1487675667,-118.008588128
8505-008-009,"420 W PALM AVE, MONROVIA CA 91016-2631",Single Family Residence,765000,1939,2,1,920,8038,CURRENT,34.1487691086,-118.008423272
8505-008-010,"416 W PALM AVE, MONROVIA CA 91016-2631",Single Family Residence,612000,1949,2,1,989,8074,CURRENT,34.1487713904,-118.008258426
8505-008-011,"412 W PALM AVE, MONROVIA CA 91016-2631",Single Family Residence,641881,1924,1,1,600,2044,CURRENT,34.1489208377,-118.008115718
8505-008-012,"303 S ALTA VISTA AVE, MONROVIA CA 91016-2701",Institutional,764694,1923,0,2,2426,6238,CURRENT,34.1489235561,-118.007861231
8505-008-013,"309 S ALTA VISTA AVE, MONROVIA CA 91016-2701",Multi-Family Residence,1351500,1924,2,1,922,8260,CURRENT,34.1487753235,-118.007921473
8505-008-014,"311 S ALTA VISTA AVE, MONROVIA CA 91016-2701",Multi-Family Residence,200035,1926,2,2,1728,8286,CURRENT,34.148627739,-118.007918588
