ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8488-017-001,"711 E TRUMAN PL, WEST COVINA CA 91790-5157",Single Family Residence,176981,1955,3,2,1725,8208,CURRENT,34.0558600719,-117.931607071
8488-017-002,"705 E TRUMAN PL, WEST COVINA CA 91790-5157",Single Family Residence,282724,1955,4,3,1996,8635,CURRENT,34.0558619469,-117.931864631
8488-017-003,"710 E TRUMAN PL, WEST COVINA CA 91790-5156",Single Family Residence,509959,1955,3,2,1536,8355,CURRENT,34.0553859044,-117.931613218
8488-017-004,"704 E TRUMAN PL, WEST COVINA CA 91790-5156",Single Family Residence,350884,1955,3,2,1175,8778,CURRENT,34.0553895542,-117.931872004
8488-017-005,"711 E GREENVILLE DR, WEST COVINA CA 91790-5134",Single Family Residence,531986,1955,4,3,1799,8386,CURRENT,34.0550880346,-117.931616486
8488-017-006,"705 E GREENVILLE DR, WEST COVINA CA 91790-5134",Single Family Residence,636934,1955,3,2,1316,8729,CURRENT,34.0550904091,-117.931876632
8488-017-007,"710 E GREENVILLE DR, WEST COVINA CA 91790-5133",Single Family Residence,109294,1955,3,2,1175,8458,CURRENT,34.0546133953,-117.931623541
8488-017-008,"704 E GREENVILLE DR, WEST COVINA CA 91790-5133",Single Family Residence,855660,1955,4,3,2015,8651,CURRENT,34.0546170355,-117.931883567
8488-017-009,"711 E MERCED AVE, WEST COVINA CA 91790-5143",Single Family Residence,302986,1955,3,2,1175,8375,CURRENT,34.0543189267,-117.931627984
8488-017-010,"705 E MERCED AVE, WEST COVINA CA 91790-5143",Single Family Residence,334199,1955,4,3,2152,8577,CURRENT,34.0543193189,-117.931887377
8488-018-001,"448 E TRUMAN PL, WEST COVINA CA 91790-5049",Single Family Residence,74450,1955,2,2,1392,11444,CURRENT,34.0552590297,-117.936600835
8488-018-002,"508 E TRUMAN PL, WEST COVINA CA 91790-5050",Single Family Residence,431056,1952,3,2,1662,11450,CURRENT,34.0552563953,-117.936320265
8488-018-003,"514 E TRUMAN PL, WEST COVINA CA 91790-5050",Single Family Residence,651081,1952,3,2,1700,11647,CURRENT,34.0552537263,-117.936037256
8488-018-004,"522 E TRUMAN PL, WEST COVINA CA 91790-5050",Single Family Residence,573541,1952,2,2,1731,11650,CURRENT,34.055250875,-117.935751824
8488-018-006,"1115 S WALNUT AVE, WEST COVINA CA 91790-5106",Single Family Residence,409963,1948,2,1,1110,19096,CURRENT,34.0553318065,-117.934635011
8488-018-007,"449 E MERCED AVE, WEST COVINA CA 91790-5023",Single Family Residence,364733,1947,2,2,1785,26470,CURRENT,34.0546467392,-117.936613817
8488-018-008,"511 E MERCED AVE, WEST COVINA CA 91790-5025",Multi-Family Residence,850745,1952,2,2,1462,26629,CURRENT,34.0546409897,-117.936333763
8488-018-009,"521 E MERCED AVE, WEST COVINA CA 91790-5025",Single Family Residence,463705,1947,5,3,2170,54153,CURRENT,34.0546370961,-117.935908012
