ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8479-009-001,"119 S MOCKINGBIRD LN, WEST COVINA CA 91791-2058",Single Family Residence,692382,1952,3,2,1803,9173,CURRENT,34.0711846763,-117.894281053
8479-009-002,"125 S MOCKINGBIRD LN, WEST COVINA CA 91791-2058",Single Family Residence,496570,1952,3,3,2008,8979,CURRENT,34.0710201848,-117.894285902
8479-009-003,"131 S MOCKINGBIRD LN, WEST COVINA CA 91791-2058",Single Family Residence,620935,1952,3,2,1116,8949,CURRENT,34.0708550606,-117.894295916
8479-009-004,"137 S MOCKINGBIRD LN, WEST COVINA CA 91791-2058",Single Family Residence,531279,1952,3,2,1112,8412,CURRENT,34.0706908294,-117.894305782
8479-009-005,"143 S MOCKINGBIRD LN, WEST COVINA CA 91791-2058",Single Family Residence,61693,1952,3,2,1203,8369,CURRENT,34.0705273933,-117.894315626
8479-009-006,"147 S MOCKINGBIRD LN, WEST COVINA CA 91791-2058",Single Family Residence,615758,1952,3,2,1472,8195,CURRENT,34.0703626574,-117.894321801
8479-009-007,"201 S MOCKINGBIRD LN, WEST COVINA CA 91791-2063",Single Family Residence,533250,1952,3,2,1116,8282,CURRENT,34.0701979614,-117.894326514
8479-009-008,"205 S MOCKINGBIRD LN, WEST COVINA CA 91791-2063",Single Family Residence,930890,1953,2,1,1110,8139,CURRENT,34.0700330093,-117.894332914
8479-009-009,"209 S MOCKINGBIRD LN, WEST COVINA CA 91791-2063",Single Family Residence,518539,1952,4,3,1202,8183,CURRENT,34.0698680298,-117.894337464
8479-009-010,"213 S MOCKINGBIRD LN, WEST COVINA CA 91791-2063",Single Family Residence,458252,1953,3,2,1213,8081,CURRENT,34.0697026158,-117.894342127
8479-009-011,"2407 E WALNUT CREEK PKWY, WEST COVINA CA 91791-2055",Single Family Residence,670140,1952,3,2,1363,7827,CURRENT,34.0695353191,-117.894373647
8479-009-014,"218 S MANZANITA DR, WEST COVINA CA 91791-2048",Single Family Residence,757701,1955,3,2,1528,8076,CURRENT,34.0694025277,-117.894833262
8479-009-015,"212 S MANZANITA DR, WEST COVINA CA 91791-2048",Single Family Residence,152303,1955,3,2,1249,8278,CURRENT,34.0695709112,-117.89479917
8479-009-016,"208 S MANZANITA DR, WEST COVINA CA 91791-2048",Single Family Residence,575316,1955,3,2,1348,8424,CURRENT,34.0697360199,-117.894793019
8479-009-017,"202 S MANZANITA DR, WEST COVINA CA 91791-2048",Single Family Residence,195187,1955,3,2,1249,8347,CURRENT,34.0699017574,-117.894789201
8479-009-018,"144 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,76947,1955,3,2,1228,8149,CURRENT,34.0700648254,-117.894786546
8479-009-019,"140 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,130725,1955,3,2,1228,8464,CURRENT,34.070229127,-117.894782526
8479-009-020,"136 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,450231,1955,4,2,1876,8300,CURRENT,34.0703946619,-117.894778727
8479-009-021,"130 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,835000,1955,4,2,1732,8386,CURRENT,34.0705590892,-117.894775034
8479-009-022,"126 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,398558,1955,3,2,1249,8301,CURRENT,34.0707234065,-117.894769373
8479-009-023,"122 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,265185,1955,3,2,1678,7920,CURRENT,34.0708974072,-117.894715071
8479-009-024,"116 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,259149,1955,3,2,1249,10359,CURRENT,34.0711104058,-117.89471459
8479-009-025,"112 S MANZANITA DR, WEST COVINA CA 91791-2046",Single Family Residence,568911,1955,4,2,1798,9218,CURRENT,34.0712075622,-117.894928228
8479-009-026,"117 S MOCKINGBIRD LN, WEST COVINA CA 91791-2000",Multi-Family Residence,362590,1957,3,4,2385,8958,CURRENT,34.0713488614,-117.894277343
8479-009-029,"111 S MOCKINGBIRD LN, WEST COVINA CA 91791-2061",Multi-Family Residence,184982,1961,12,10,4653,11482,CURRENT,34.0715330091,-117.894272956
8479-009-030,"2330 E GARVEY AVE S, WEST COVINA CA 91791-2066",Single Family Residence,435962,1950,4,3,2430,11768,CURRENT,34.0714837883,-117.895453234
8479-009-031,"2340 E GARVEY AVE S, WEST COVINA CA 91791-2066",Single Family Residence,477286,1937,3,2,1924,12546,CURRENT,34.0714812375,-117.895115923
8479-009-032,"2342 E GARVEY AVE S, WEST COVINA CA 91791-2066",Single Family Residence,898905,1985,3,2,1538,7373,CURRENT,34.0714783684,-117.894840183
