ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8493-059-027,"2228 YOSEMITE WAY, WEST COVINA CA 91791-4327",Single Family Residence,611582,2002,4,3,2217,3461,CURRENT,34.0465484421,-117.900790461
8493-059-028,"2232 YOSEMITE WAY, WEST COVINA CA 91791-4327",Single Family Residence,630785,2002,4,3,2217,3534,CURRENT,34.0465488558,-117.900641898
8493-059-029,"2236 YOSEMITE WAY, WEST COVINA CA 91791-4327",Single Family Residence,942352,2002,4,3,1824,4067,CURRENT,34.0465464223,-117.900483528
8493-059-030,"2237 PACIFIC PARK WAY, WEST COVINA CA 91791-4325",Single Family Residence,478621,2002,4,3,1760,3438,CURRENT,34.0463481461,-117.900482469
8493-059-031,"2233 PACIFIC PARK WAY, WEST COVINA CA 91791-4325",Single Family Residence,508165,2002,4,3,2154,3059,CURRENT,34.0463475259,-117.900640755
8493-059-032,"2229 PACIFIC PARK WAY, WEST COVINA CA 91791-4325",Single Family Residence,757432,2002,4,3,2113,3061,CURRENT,34.0463494754,-117.900789337
8493-059-033,"2225 PACIFIC PARK WAY, WEST COVINA CA 91791-4325",Single Family Residence,487485,2002,4,3,2154,3060,CURRENT,34.0463514042,-117.900937946
8493-059-034,"2219 PACIFIC PARK WAY, WEST COVINA CA 91791-4325",Single Family Residence,487485,2002,4,3,2154,3060,CURRENT,34.0463533396,-117.901086541
8493-059-035,"2215 PACIFIC PARK WAY, WEST COVINA CA 91791-4325",Single Family Residence,713925,2002,4,3,2035,3474,CURRENT,34.0463583593,-117.901245722
8493-059-036,",",Vacant Land,9,,,,,67622,CURRENT,34.0462050965,-117.900779611
8493-059-037,",",Vacant Land,9,,,,,3404,CURRENT,34.0459452164,-117.900567349
8493-005-001,"1321 S DONNA BETH AVE, WEST COVINA CA 91791-3924",Single Family Residence,1251158,1955,3,3,4700,15955,CURRENT,34.0512606015,-117.905579786
8493-005-002,"1311 S DONNA BETH AVE, WEST COVINA CA 91791-3924",Single Family Residence,907939,1957,3,2,2170,15668,CURRENT,34.0515809686,-117.905576383
8493-005-003,"1904 E MICHELLE ST, WEST COVINA CA 91791-3944",Single Family Residence,380723,1955,3,2,2703,15570,CURRENT,34.0519755105,-117.905493534
8493-005-004,"1850 E MICHELLE ST, WEST COVINA CA 91791-3943",Single Family Residence,775377,1954,3,2,2010,13474,CURRENT,34.0519474567,-117.905792618
8493-005-005,"1844 E MICHELLE ST, WEST COVINA CA 91791-3943",Single Family Residence,811809,1961,3,3,2483,13416,CURRENT,34.0519418066,-117.906101671
8493-005-006,"1306 S CAJON AVE, WEST COVINA CA 91791-3907",Single Family Residence,990000,1957,3,2,1762,11707,CURRENT,34.0516165761,-117.905990693
8493-005-007,"1312 S CAJON AVE, WEST COVINA CA 91791-3907",Single Family Residence,546342,1954,3,2,1515,18577,CURRENT,34.0513296241,-117.906039676
8493-005-008,"1834 E CAJON CIR, WEST COVINA CA 91791-3909",Single Family Residence,910863,1958,3,4,2713,11807,CURRENT,34.0512626055,-117.906349208
8493-005-009,"1828 E CAJON CIR, WEST COVINA CA 91791-3909",Single Family Residence,129965,1962,3,3,2202,13943,CURRENT,34.0512990812,-117.906672518
8493-005-010,"1820 E CAJON CIR, WEST COVINA CA 91791-3909",Single Family Residence,442060,1963,3,3,2509,14066,CURRENT,34.0513049333,-117.907000834
8493-005-011,"1812 E CAJON CIR, WEST COVINA CA 91791-3909",Single Family Residence,782992,1957,3,3,1866,13916,CURRENT,34.0513038763,-117.907328216
8493-005-012,"1804 E CAJON CIR, WEST COVINA CA 91791-3909",Single Family Residence,326563,1962,3,2,2028,12694,CURRENT,34.0512951585,-117.907666515
8493-005-013,"1805 E CAJON CIR, WEST COVINA CA 91791-3910",Single Family Residence,108105,1955,2,2,1534,14229,CURRENT,34.0518886538,-117.907657739
8493-005-014,"1813 E CAJON CIR, WEST COVINA CA 91791-3910",Single Family Residence,126892,1954,6,2,3281,14368,CURRENT,34.0518618978,-117.907323042
8493-005-015,"1821 E CAJON CIR, WEST COVINA CA 91791-3910",Single Family Residence,176050,1954,2,4,2158,12703,DELINQUENT,34.051830579,-117.906996861
8493-005-016,"1829 E CAJON CIR, WEST COVINA CA 91791-3910",Single Family Residence,314828,1955,3,2,2324,12678,CURRENT,34.0518017231,-117.906643043
8493-005-017,"1828 E MICHELLE ST, WEST COVINA CA 91791-3941",Single Family Residence,321512,1961,4,3,2654,12958,CURRENT,34.052102909,-117.906640447
8493-005-018,"1820 E MICHELLE ST, WEST COVINA CA 91791-3941",Single Family Residence,678403,1968,3,3,2414,13200,CURRENT,34.0521906884,-117.906992923
8493-005-019,"1812 E MICHELLE ST, WEST COVINA CA 91791-3941",Single Family Residence,915592,1954,3,2,1746,15301,CURRENT,34.0522681264,-117.907318874
8493-005-020,"1804 E MICHELLE ST, WEST COVINA CA 91791-3941",Single Family Residence,538523,1961,3,2,1987,15198,CURRENT,34.0522972501,-117.90764589
