ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8465-011-001,"14572 BARRYDALE ST, VALINDA CA 91746-1158",Single Family Residence,257081,1957,3,2,1445,6498,CURRENT,34.0547261543,-117.961859982
8465-011-002,"14566 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,535502,1957,3,2,1412,6334,CURRENT,34.0548433008,-117.962017987
8465-011-003,"14560 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,173570,1957,3,2,1405,6331,CURRENT,34.0549584457,-117.96217427
8465-011-004,"14552 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,72451,1957,3,2,1405,6339,CURRENT,34.0550737004,-117.962330513
8465-011-005,"14546 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,387471,1957,3,2,1445,6338,CURRENT,34.0551889016,-117.962486931
8465-011-006,"14540 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,113049,1957,3,2,1405,6338,CURRENT,34.055304058,-117.962643306
8465-011-007,"14534 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,877200,1957,3,2,1412,6341,CURRENT,34.0554192348,-117.962799676
8465-011-008,"14528 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,66694,1957,3,2,1445,6344,CURRENT,34.0555344148,-117.962955963
8465-011-009,"14522 BARRYDALE ST, VALINDA CA 91746-1158",Single Family Residence,142633,1957,3,2,1405,6348,CURRENT,34.055649677,-117.963112286
8465-011-010,"14514 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,433442,1957,3,2,1405,6343,CURRENT,34.0557648532,-117.963268663
8465-011-011,"14508 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,70203,1957,3,2,1837,6348,CURRENT,34.0558799965,-117.963424929
8465-011-012,"14502 BARRYDALE ST, LA PUENTE CA 91746-1158",Single Family Residence,219687,1957,3,2,2017,6349,CURRENT,34.055995222,-117.963581218
8465-011-013,"14452 BARRYDALE ST, VALINDA CA 91746-1159",Single Family Residence,657787,1957,3,2,1406,6355,CURRENT,34.0561103633,-117.963737666
8465-011-014,"14446 BARRYDALE ST, VALINDA CA 91746-1159",Single Family Residence,586200,1957,3,2,1405,6324,CURRENT,34.0562257926,-117.963893195
8465-012-002,"14301 FAIRGROVE AVE, ZZ TAC, LA PUENTE CA 91746-1712",Institutional,0,,,,,,CURRENT,,
8465-012-004,"1303 ORANGE AVE, LA PUENTE CA 91744-1738",Single Family Residence,0,,,,,,CURRENT,,
