"ain","address","useType","taxStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","hasFcHist"
"8448-026-019","1254 CAMINO DEL SUR, SAN DIMAS CA 91773-4404","Single Family Residence","CURRENT","1967","3","4","2765","11148","1335000","08/15/2025","1335000","False"
"8448-026-020","1242 CAMINO DEL SUR, SAN DIMAS CA 91773-4404","Single Family Residence","CURRENT","1967","3","2","2153","10841","1144439","10/25/2023","1100011","False"
"8448-026-021","1232 CAMINO DEL SUR, SAN DIMAS CA 91773-4404","Single Family Residence","CURRENT","1967","3","3","1903","10438","700433","04/15/2010","532005","False"
"8448-026-022","1220 CAMINO DEL SUR, SAN DIMAS CA 91773-4404","Single Family Residence","CURRENT","1967","3","2","1797","10711","584055","08/23/2012","465004","False"
"8448-026-023","1210 CAMINO DEL SUR, SAN DIMAS CA 91773-4404","Single Family Residence","CURRENT","1967","3","2","1845","10485","159663",,,"False"
"8448-026-024","1180 CAMINO DEL SUR, SAN DIMAS CA 91773-4429","Single Family Residence","CURRENT","1967","3","3","2721","12442","518521","05/15/1998","220000","False"
"8448-026-025","1168 CAMINO DEL SUR, SAN DIMAS CA 91773-4429","Single Family Residence","CURRENT","1967","3","2","2247","11666","270962",,,"False"
"8448-026-026","1156 CAMINO DEL SUR, SAN DIMAS CA 91773-4429","Single Family Residence","CURRENT","1969","3","2","1656","10585","533811","09/07/2012","350000","False"
"8448-026-027","1140 CAMINO DEL SUR, SAN DIMAS CA 91773-4429","Single Family Residence","CURRENT","1969","4","3","2118","12889","289875","11/05/1979","54000","False"
"8448-026-028","2411 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","5","3","2526","12586","672149","02/06/2003","455000","False"
"8448-026-029","2423 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","4","3","2118","10684","165790",,,"False"
"8448-026-030","2429 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","5","3","2526","16295","432734","07/26/1996","260502","True"
"8448-026-031","1380 CAMINO DEL SUR, SAN DIMAS CALIF 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-026-032","1374 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","4","3","2118","10435","1246399","02/26/2024","1198000","False"
"8448-026-033","1362 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","5","3","3027","12241","1000293","11/13/2020","906009","False"
"8448-026-034","1352 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","3","2","1656","12301","382062","08/06/1996","230000","False"
"8448-026-035","1342 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","3","2","1936","10903","993669","02/19/2021","900000","False"
"8448-026-036","1334 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","3","2","1674","10623","752970","03/06/2020","675006","False"
"8448-026-037","1322 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","3","2","1936","15275","786440","06/17/2008","587005","False"
"8448-026-038","1312 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT","1969","3","2","1656","15239","710150","05/01/2014","475000","False"
"8448-026-039","1400 VIA VERDE, SAN DIMAS CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-026-040","1400 VIA VERDE, SAN DIMAS CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0","10/31/1989","125000","False"
"8448-026-041","1380 CAMINO DEL SUR, SAN DIMAS CA 91773-0000","Vacant Land","CURRENT",,,,,,"0","11/08/1989","472500","False"
"8448-026-042","1400 VIA VERDE, SAN DIMAS CA 91773-4426","Single Family Residence","CURRENT",,,,,,"0","10/31/1989","125000","False"
"8448-026-043","1380 CAMINO DEL SUR, SAN DIMAS CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0","11/08/1989","472500","False"
"8448-026-044",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-026-045",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-026-046",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-026-047",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-026-048",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-026-049","1380 CAMINO DEL SUR, SAN DIMAS CA 91773-4406","Single Family Residence","CURRENT",,,,,,"0",,,"False"
