ain,address,useType,parcelStatus,taxStatus,yearBuilt,beds,baths,bldg,lot,assessed,land,imp,lastBuyPrice,lastBuyDate,hasForeclosureHist
8448-043-037,"827 VIA GREGORIO, SAN DIMAS CA 91773-3933",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2532,10201,699089,408601,290488,380000,08/22/1990,false
8448-043-038,"821 VIA GREGORIO, SAN DIMAS CA 91773-3933",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2800,10062,1044520,538044,506476,900000,12/06/2017,false
8448-043-039,"815 VIA GREGORIO, SAN DIMAS CA 91773-3933",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2560,11446,1008146,784338,223808,950000,12/06/2022,false
8448-043-040,"809 VIA GREGORIO, SAN DIMAS CA 91773-3933",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2532,9814,647919,313863,334056,430004,08/24/2001,false
8448-043-041,"803 VIA GREGORIO, SAN DIMAS CA 91773-3933",Single Family Residence,ACTIVE,CURRENT,1987,3,3,2081,11368,519672,293257,226415,325003,06/18/1999,false
8448-043-042,"671 AVENIDA BERNARDO, SAN DIMAS CA 91773-3935",Single Family Residence,ACTIVE,CURRENT,1987,3,3,2151,15014,637823,361022,276801,415004,04/11/2001,false
8448-043-043,"665 AVENIDA BERNARDO, SAN DIMAS CA 91773-3935",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2532,10434,970494,559874,410620,870000,02/24/2020,false
8448-043-044,"659 AVENIDA BERNARDO, SAN DIMAS CA 91773-3935",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2560,11664,684769,234721,450048,395000,03/23/1994,false
8448-043-045,"653 AVENIDA BERNARDO, SAN DIMAS CA 91773-3935",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2800,15785,1194716,598722,595994,1050010,06/28/2019,false
8448-043-046,"652 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,3,3,2081,10204,481745,188871,292874,295002,04/24/1997,false
8448-043-047,"658 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2800,11277,496630,180406,316224,,,false
8448-043-048,"668 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2560,11094,409999,139578,270421,,,false
8448-043-049,"670 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2800,9313,1113752,833748,280004,815000,10/26/2006,false
8448-043-050,"676 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2532,8479,400036,127630,272406,201002,04/14/1987,false
8448-043-051,"682 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,3,3,2081,8071,369763,126436,243327,181001,04/20/1987,false
8448-043-052,"688 AVENIDA BERNARDO, SAN DIMAS CA 91773-3936",Single Family Residence,ACTIVE,CURRENT,1987,3,2,1866,8107,199919,52845,147074,422004,08/22/2002,false
8448-043-053,",",Vacant Land,ACTIVE,CURRENT,,,,,229906,9,9,0,,,false
8448-043-054,"107 CALLE AGOSTO, SAN DIMAS CA 91773-3925",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2560,19125,948185,557756,390429,850008,11/22/2019,false
8448-043-055,"113 CALLE AGOSTO, SAN DIMAS CA 91773-3925",Single Family Residence,ACTIVE,CURRENT,1987,4,3,2532,9537,1112825,453256,659569,890008,11/20/2013,false
