ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8482-037-033,"1133 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,1362902,1984,4,3,3605,31936,CURRENT,34.046611097,-117.880304854
8482-037-034,"1129 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,1836000,1984,4,3,3605,33081,CURRENT,34.0469160462,-117.880299749
8482-037-035,"1125 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,899408,1984,5,3,4909,20810,CURRENT,34.0471862317,-117.880301737
8482-037-036,"1121 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,842038,1984,4,3,3094,19977,CURRENT,34.0474053488,-117.88033558
8482-037-037,"1117 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,662297,1984,3,2,2208,19851,CURRENT,34.0476191948,-117.880391539
8482-037-038,"1113 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,610736,1984,4,3,2810,20569,CURRENT,34.0478362154,-117.880448438
8482-037-039,"1109 PROMONTORY PL, WEST COVINA CA 91791-3462",Single Family Residence,1493754,1984,4,3,2392,19443,CURRENT,34.0480510441,-117.880504834
8482-037-040,"1105 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,439933,1983,4,2,2158,20386,CURRENT,34.0482649022,-117.880560936
8482-037-041,"1101 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,452618,1983,4,3,2385,19863,CURRENT,34.0484810431,-117.880617494
8482-037-042,"1061 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,894214,1983,4,3,3094,19913,CURRENT,34.0486945834,-117.880673647
8482-037-043,"1055 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,610733,1983,4,3,2810,23741,CURRENT,34.0489339864,-117.880743802
8482-037-044,"1051 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,507390,1983,4,3,2844,24293,CURRENT,34.0492247201,-117.880750386
8482-037-045,"1047 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,656396,1983,4,3,3605,29921,CURRENT,34.0495340848,-117.880710486
8482-037-046,"1043 PROMONTORY PL, WEST COVINA CA 91791-3469",Single Family Residence,583466,1983,4,3,2810,30605,CURRENT,34.049722802,-117.880287955
8482-037-047,"3000 E HILLSIDE DR, WEST COVINA CA 91791-3475",Single Family Residence,1463592,1988,4,3,3468,22101,CURRENT,34.0494960319,-117.881248721
8482-037-048,",",Vacant Land,0,,,,,327279,CURRENT,34.0471515424,-117.881263602
8482-037-049,",",Vacant Land,0,,,,,739704,CURRENT,34.0487720994,-117.877817372
8482-023-001,"961 S SPRING MEADOW DR, WEST COVINA CA 91791-3441",Single Family Residence,831692,1948,4,3,2620,40077,CURRENT,34.0572906493,-117.884370103
8482-023-004,"921 S SPRING MEADOW DR, WEST COVINA CA 91791-3441",Single Family Residence,899118,1954,3,3,2212,45854,CURRENT,34.0585454265,-117.885532763
8482-023-005,"909 S SPRING MEADOW DR, WEST COVINA CA 91791-3441",Single Family Residence,191242,1960,4,3,2787,45980,CURRENT,34.0588086302,-117.885183248
8482-023-006,"920 S SPRING MEADOW DR, WEST COVINA CA 91791-3440",Single Family Residence,1850000,1947,3,2,2478,71354,CURRENT,34.0587377277,-117.884322113
8482-023-007,"940 S SPRING MEADOW DR, WEST COVINA CA 91791-3440",Single Family Residence,1334669,1954,3,3,2815,89312,CURRENT,34.0582436579,-117.883865229
8482-023-011,"1040 SPRING MEADOW DR, WEST COVINA CALIF 91791-0000",Single Family Residence,0,,,,,,CURRENT,,
8482-023-012,"1056 SPRING MEADOW DR, WEST COVINA CALIF 91791-0000",Single Family Residence,0,,,,,,CURRENT,,
8482-023-015,"927 S SPRING MEADOW DR, WEST COVINA CA 91791-3441",Single Family Residence,1024929,1961,4,3,2748,40024,CURRENT,34.0577617786,-117.885635757
