ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8482-033-017,",",Other Property Type,0,,,,,,CURRENT,,
8482-033-018,",",Other Property Type,0,,,,,,CURRENT,,
8482-033-019,",",Other Property Type,0,,,,,,CURRENT,,
8482-033-020,",",Other Property Type,0,,,,,,CURRENT,,
8482-033-021,"805 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-022,"809 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-023,"813 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-024,"817 S EASTHILLS DR, WEST COVINA CA 91790-0000",Single Family Residence,0,,,,,,CURRENT,,
8482-033-025,"821 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-026,"825 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-027,"829 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-028,"833 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-029,"837 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-030,"841 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-031,"845 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-032,"849 S EASTHILLS DR, WEST COVINA CA 91791-3450",Single Family Residence,0,,,,,,CURRENT,,
8482-033-033,"901 S EASTHILLS DR, WEST COVINA CA",Single Family Residence,0,,,,,,CURRENT,,
8482-033-034,"905 S EASTHILLS DR, WEST COVINA CA 91791-3465",Single Family Residence,0,,,,,,CURRENT,,
8482-033-035,"909 S EASTHILLS DR, WEST COVINA CA 91791-3465",Single Family Residence,0,,,,,,CURRENT,,
8482-033-036,"913 S EASTHILLS DR, WEST COVINA CA 91791-3465",Single Family Residence,763668,1985,4,3,2481,28391,CURRENT,34.0561763979,-117.875464786
8482-033-037,"917 S EASTHILLS DR, WEST COVINA CA 91791-3465",Single Family Residence,1149539,1985,4,3,2245,24477,CURRENT,34.0558622605,-117.875448172
8482-033-038,"921 S EASTHILLS DR, WEST COVINA CA 91791-3465",Single Family Residence,1380965,1985,4,3,2481,30156,CURRENT,34.0556420544,-117.875712338
8482-033-039,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-040,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-041,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-042,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-043,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-044,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-045,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-046,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-047,",",Vacant Land,0,,,,,,CURRENT,,
8482-033-048,"3209 LOS ALAMOS DR, WEST COVINA CA 91791-4202",Single Family Residence,2148902,2007,6,7,4886,25736,CURRENT,34.0565709226,-117.876806337
8482-033-049,"3219 LOS ALAMOS DR, WEST COVINA CA 91791-4202",Single Family Residence,2144367,2007,5,6,4707,22764,CURRENT,34.0564722174,-117.876268541
8482-033-050,"3228 LOS ALAMOS DR, WEST COVINA CA 91791-4202",Single Family Residence,2005947,2007,5,6,4121,27407,CURRENT,34.0561534581,-117.876117455
8482-033-051,"3218 LOS ALAMOS DR, WEST COVINA CA 91791-4202",Single Family Residence,2277628,2007,5,5,4219,32726,CURRENT,34.055745887,-117.876428117
8482-033-052,",",Vacant Land,409439,,,,,100662,CURRENT,34.0554481722,-117.877074976
