ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8477-006-006,"210 S FERNWOOD ST, WEST COVINA CA 91791-1812",Single Family Residence,645145,1952,3,2,1462,7014,CURRENT,34.0697874668,-117.910589488
8477-006-007,"206 S FERNWOOD ST, WEST COVINA CA 91791-1812",Single Family Residence,64436,1952,3,2,1236,7080,CURRENT,34.0699660197,-117.910587378
8477-006-008,"205 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,406230,1953,3,2,1256,6970,CURRENT,34.0699625745,-117.910233025
8477-006-009,"209 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,438146,1953,3,2,1619,6984,CURRENT,34.0697835007,-117.910234453
8477-006-010,"215 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,313832,1953,3,2,1870,6978,CURRENT,34.0696051404,-117.910232273
8477-006-011,"219 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,223178,1953,3,2,1581,7252,CURRENT,34.0694298676,-117.910206465
8477-006-012,"225 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,709100,1953,3,2,1532,7673,CURRENT,34.069251395,-117.910161787
8477-006-013,"229 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,435490,1953,3,3,1985,7437,CURRENT,34.0690778974,-117.910130617
8477-006-014,"235 S MYRTLEWOOD ST, WEST COVINA CA 91791-1836",Single Family Residence,831306,1953,4,3,1775,7063,CURRENT,34.0689095304,-117.910121036
8477-007-001,"236 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,616367,1952,3,2,1214,7143,CURRENT,34.0689223754,-117.911477485
8477-007-002,"230 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,387232,1952,4,2,1568,7396,CURRENT,34.0690908201,-117.911475936
8477-007-003,"226 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,835635,1952,3,2,1235,7478,CURRENT,34.0692640341,-117.911479232
8477-007-004,"220 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,621486,1952,3,2,1587,7134,CURRENT,34.0694409723,-117.911486
8477-007-005,"216 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,391601,1952,3,2,1614,6920,CURRENT,34.0696181762,-117.91148974
8477-007-006,"210 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,512410,1952,3,2,1226,7112,CURRENT,34.0697960814,-117.91148737
8477-007-007,"206 S CHERRYWOOD ST, WEST COVINA CA 91791-1808",Single Family Residence,319667,1952,3,2,1566,7038,CURRENT,34.0699751325,-117.911483
8477-007-008,"205 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,376919,1952,3,2,1646,7018,CURRENT,34.0699712773,-117.91112816
8477-007-009,"209 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,422776,1952,5,3,1784,7051,CURRENT,34.0697920783,-117.911129764
8477-007-010,"215 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,190638,1952,4,3,1747,6966,CURRENT,34.0696144025,-117.911131267
8477-007-011,"219 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,164491,1952,3,2,1236,6958,CURRENT,34.0694379679,-117.911124989
8477-007-012,"225 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,671105,1952,3,2,1235,7174,CURRENT,34.0692604017,-117.911102666
8477-007-013,"229 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,70188,1952,3,2,1629,7270,CURRENT,34.0690859279,-117.911088779
8477-007-014,"235 S FERNWOOD ST, WEST COVINA CA 91791-1813",Single Family Residence,1279386,1952,3,2,1256,7132,CURRENT,34.0689186696,-117.911087537
