ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8504-021-016,"164 MCKINLEY PL, MONROVIA CA 91016-1904",Single Family Residence,1152305,1938,3,3,2570,9608,CURRENT,34.1536237907,-118.016131518
8504-021-017,"160 MCKINLEY PL, MONROVIA CA 91016-1904",Single Family Residence,823955,1947,2,2,1276,9605,CURRENT,34.1534225939,-118.016127674
8504-021-018,"154 MCKINLEY PL, MONROVIA CA 91016-1904",Single Family Residence,1469939,1948,3,2,1481,9616,CURRENT,34.1532213886,-118.016123696
8504-021-019,"148 MCKINLEY PL, MONROVIA CA 91016-1904",Single Family Residence,921636,1948,3,2,1716,9621,CURRENT,34.1530200939,-118.016119784
8504-021-020,"201 N SUNSET PL, MONROVIA CA 91016-1909",Single Family Residence,276977,1924,4,2,2993,11372,CURRENT,34.1542147053,-118.015709223
8504-022-001,"906 W HILLCREST BLVD, MONROVIA CA 91016-1541",Single Family Residence,888341,2013,4,3,2751,8442,CURRENT,34.154534569,-118.017476372
8504-022-002,"902 W HILLCREST BLVD, MONROVIA CA 91016-1541",Single Family Residence,311791,1948,2,2,1504,7234,CURRENT,34.1545373244,-118.017304479
8504-022-003,"848 W HILLCREST BLVD, MONROVIA CA 91016-1567",Single Family Residence,672988,1948,2,1,925,7532,CURRENT,34.1545397776,-118.017142522
8504-022-004,"846 W HILLCREST BLVD, MONROVIA CA 91016-1567",Single Family Residence,950000,1948,2,2,960,7520,CURRENT,34.1545420456,-118.016977279
8504-022-010,"159 MCKINLEY PL, MONROVIA CA 91016-1903",Single Family Residence,842633,1936,3,2,1794,8490,CURRENT,34.1533901045,-118.016741858
8504-022-011,"153 MCKINLEY PL, MONROVIA CA 91016-1903",Single Family Residence,358498,1936,4,3,1512,8491,CURRENT,34.1532252138,-118.016738684
8504-022-012,"147 MCKINLEY PL, MONROVIA CA 91016-1903",Single Family Residence,872116,1992,4,3,2585,12168,CURRENT,34.1530526084,-118.016811178
8504-022-013,"146 N GARFIELD PL, MONROVIA CA 91016-1919",Single Family Residence,457592,1950,3,2,1006,6170,CURRENT,34.1530464475,-118.017277658
8504-022-015,"152 N GARFIELD PL, MONROVIA CA 91016-1919",Single Family Residence,1007381,1956,3,2,1712,8448,CURRENT,34.1532192095,-118.017205149
8504-022-016,"158 N GARFIELD PL, MONROVIA CA 91016-1919",Single Family Residence,155572,1949,3,2,1702,8448,CURRENT,34.1533840847,-118.017208298
8504-022-017,"165 MCKINLEY PL, MONROVIA CA 91016-1903",Single Family Residence,1450168,1947,5,5,2600,12751,CURRENT,34.1535962972,-118.016745737
8504-022-022,"168 N GARFIELD PL, MONROVIA CA 91016-1919",Single Family Residence,847824,1964,3,3,1842,12672,CURRENT,34.1535901829,-118.017212218
8504-022-023,"173 MCKINLEY PL, MONROVIA CA 91016-1903",Single Family Residence,343390,1936,3,2,1694,9085,CURRENT,34.1538021665,-118.01676585
8504-022-024,"174 N GARFIELD PL, MONROVIA CA 91016-1919",Single Family Residence,88113,1961,2,2,1301,7856,CURRENT,34.1537961243,-118.017232551
8504-022-025,"177 MCKINLEY PL, MONROVIA CA 91016-1903",Single Family Residence,921636,1947,3,2,1773,11325,CURRENT,34.153994672,-118.016752866
8504-022-026,"178 N GARFIELD PL, MONROVIA CA 91016-1919",Single Family Residence,189273,1961,3,2,1931,11140,CURRENT,34.1539877836,-118.017216632
8504-022-027,"201 MCKINLEY PL, MONROVIA CA 91016-1905",Single Family Residence,161663,1947,2,2,2148,12037,CURRENT,34.1542216541,-118.0167572
