ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8476-006-001,"201 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,282660,1955,4,2,1735,7058,CURRENT,34.0702860004,-117.918708196
8476-006-002,"205 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,401504,1961,3,2,1825,7183,CURRENT,34.0701000795,-117.918717758
8476-006-003,"209 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,55000,1961,4,2,1312,7136,CURRENT,34.0699140823,-117.918723586
8476-006-004,"215 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,246919,1961,3,2,1274,7304,CURRENT,34.0697270049,-117.918727146
8476-006-005,"221 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,311922,1961,4,2,1708,6779,CURRENT,34.0695450617,-117.918729281
8476-006-006,"227 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,284283,1961,3,2,1274,7182,CURRENT,34.0693648572,-117.918729852
8476-006-007,"231 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,632159,1961,3,2,1274,7289,CURRENT,34.0691778595,-117.918731768
8476-006-008,"239 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,916980,1961,4,2,1696,7055,CURRENT,34.0689922534,-117.918731808
8476-006-009,"243 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,365899,1961,3,2,1274,7085,CURRENT,34.0688089754,-117.918733401
8476-006-010,"247 S ASTELL AVE, WEST COVINA CA 91790-3112",Single Family Residence,344796,1961,3,2,1570,6738,CURRENT,34.0686294196,-117.918735786
8476-006-011,"202 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,460805,1953,3,2,1103,7174,CURRENT,34.0702566091,-117.919072208
8476-006-012,"206 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,922314,1953,3,2,1925,7650,CURRENT,34.070075613,-117.919080696
8476-006-013,"212 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,73443,1953,4,3,1402,7541,CURRENT,34.0698914422,-117.919085169
8476-006-014,"216 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,554010,1953,3,2,1103,7656,CURRENT,34.0697077722,-117.919091348
8476-006-015,"222 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,522363,1953,3,2,1103,7638,CURRENT,34.0695233607,-117.919092843
8476-006-016,"226 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,286471,1953,3,2,1391,7229,CURRENT,34.0693441921,-117.919093967
8476-006-017,"234 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,471007,1953,3,3,1807,7360,CURRENT,34.0691684929,-117.919095211
8476-006-018,"238 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,390743,1953,3,2,1103,7773,CURRENT,34.0689862859,-117.919095814
8476-006-019,"242 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,340520,1953,3,2,1455,7492,CURRENT,34.0688026022,-117.919096922
8476-006-020,"248 S GARDENGLEN ST, WEST COVINA CA 91790-3119",Single Family Residence,585616,1953,3,2,1544,6960,CURRENT,34.0686286914,-117.919096494
