ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8464-033-072,"975 WILLOW AVE, NO 33, LA PUENTE CA 91746-1673",Condominium,557450,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-073,"993 WILLOW AVE, LA PUENTE CA 91746-1675",Condominium,405485,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-074,"991 WILLOW AVE, LA PUENTE CA 91746-1675",Condominium,288602,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-075,"989 WILLOW AVE, LA PUENTE CA 91746-1674",Condominium,204495,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-076,"987 WILLOW AVE, LA PUENTE CA 91746-1674",Condominium,586500,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-077,"999 WILLOW AVE, LA PUENTE CA 91746-1675",Condominium,217847,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-078,"997 WILLOW AVE, LA PUENTE CA 91746-1675",Condominium,540600,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-079,"995 WILLOW AVE, LA PUENTE CA 91746-1675",Condominium,497917,1981,2,2,1023,122517,CURRENT,34.054870237,-117.972009981
8464-033-080,"13921 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1957,0,0,430000,493103,CURRENT,34.0540348203,-117.972937363
8464-033-081,"13925 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1956,0,0,45000,51608,CURRENT,34.0539741581,-117.972680231
8464-033-082,"13917 1/2 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1958,0,0,6000,6000,CURRENT,34.054614528,-117.97281548
8464-033-083,"13911 AMAR RD, LA PUENTE CA 91746-3600",Commercial,0,1958,0,0,12500,12499,CURRENT,34.0547732287,-117.973054053
8464-033-084,"13909 AMAR RD, LA PUENTE CA 91746-1669",Commercial,0,1958,0,0,8250,8248,CURRENT,34.0549813316,-117.973234675
8464-033-085,"13907 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1958,0,0,8832,9003,CURRENT,34.0550799099,-117.973383001
8464-033-086,"13901 AMAR RD, LA PUENTE CA 91746-1670",Commercial,0,1958,0,0,18125,15622,CURRENT,34.0546045022,-117.973702027
8464-033-087,"13903 AMAR RD, LA PUENTE CA 91746-1670",Commercial,0,1958,0,0,6250,6251,CURRENT,34.0544543303,-117.973476347
8464-033-088,"13905 AMAR RD, LA PUENTE CA 91746-1670",Commercial,0,1958,0,0,15625,15623,CURRENT,34.0543042431,-117.973250625
8464-033-089,"13847 AMAR RD, LA PUENTE CA 91746-1603",Commercial,0,1974,0,0,3660,4395,CURRENT,34.0538116054,-117.974397417
8464-033-090,"13965 AMAR RD, LA PUENTE CA 91746-3604",Commercial,0,1958,0,0,3465,22336,CURRENT,34.0527752523,-117.972594387
8464-033-091,"13925 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1974,0,0,1200,2317,CURRENT,34.0530206129,-117.973185912
8464-033-092,"13921 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1957,0,0,430000,647264,CURRENT,34.0540518369,-117.972958238
8464-033-093,"13921 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1957,0,0,43000,492916,CURRENT,34.0538423988,-117.973710604
8464-033-094,",",Commercial,15262291,1956,0,0,45000,91600,CURRENT,34.0539212389,-117.972600642
8464-033-095,"13911 AMAR RD, LA PUENTE CA 91746-3600",Commercial,8183184,1958,0,0,6000,35752,CURRENT,34.0548718414,-117.973138527
8464-033-096,"13847 AMAR RD, LA PUENTE CA 91746-1603",Commercial,0,,,,,4395,CURRENT,34.0538116055,-117.974397416
8464-033-097,"13965 AMAR RD, LA PUENTE CA 91746-3604",Commercial,1818484,1958,0,0,3465,22336,CURRENT,34.0527752525,-117.972594388
8464-033-098,"13921 AMAR RD, LA PUENTE CA 91746-1676",Commercial,0,1957,0,0,43000,,CURRENT,,
8464-033-099,"13921 AMAR RD, LA PUENTE CA 91746-1676",Commercial,10456292,1985,0,0,9120,468994,CURRENT,34.0540451612,-117.972873699999
8464-033-100,"13847 AMAR RD, LA PUENTE CA 91746-1603",Commercial,4109899,2015,0,0,4365,28680,CURRENT,34.053679795,-117.974151461999
8464-021-001,"1332 MAYLAND AVE, LA PUENTE CA 91746-1032",Single Family Residence,265001,1957,3,2,1306,6347,CURRENT,34.0602076834,-117.969815824
8464-021-002,"1326 MAYLAND AVE, LA PUENTE CA 91746-1032",Single Family Residence,800000,1957,3,2,1312,6527,CURRENT,34.0600766961,-117.969946299
8464-021-003,"1320 MAYLAND AVE, LA PUENTE CA 91746-1032",Single Family Residence,519205,1957,5,3,2823,6229,CURRENT,34.0599448858,-117.970075245
