ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8505-001-001,",",Commercial,0,,,,,,CURRENT,,
8505-001-007,"322 W FOOTHILL BLVD, MONROVIA CA 91016-2149",Commercial,847222,1941,0,0,1745,9310,CURRENT,34.1509739362,-118.006261864
8505-001-008,"324 W FOOTHILL BLVD, MONROVIA CA 91016-2149",Commercial,564609,1901,0,2,3102,6974,CURRENT,34.1509718181,-118.006435384
8505-001-009,"328 W FOOTHILL BLVD, MONROVIA CA 91016-2149",Commercial,898418,1949,0,0,2312,7744,CURRENT,34.1509698707,-118.006592389
8505-001-010,"332 W FOOTHILL BLVD, MONROVIA CA 91016-2149",Commercial,1454479,1952,0,0,2742,7732,CURRENT,34.1509678556,-118.006757675
8505-001-019,"120 S ALTA VISTA AVE, MONROVIA CA 91016-2724",Single Family Residence,397369,1925,2,1,954,3989,CURRENT,34.1506513958,-118.007342041
8505-001-020,"124 S ALTA VISTA AVE, MONROVIA CA 91016-2724",Multi-Family Residence,642235,1925,4,3,1710,3983,CURRENT,34.150540935,-118.007339512
8505-001-021,",",Other Property Type,0,,,,,,CURRENT,,
8505-001-022,",",Other Property Type,0,,,,,,CURRENT,,
8505-001-023,",",Other Property Type,0,,,,,,CURRENT,,
8505-001-024,",",Other Property Type,0,,,,,,CURRENT,,
