ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8460-005-003,"14153 GARVEY AVE, BALDWIN PARK CA 91706-5001",Commercial,191654,1971,0,0,6960,17976,CURRENT,34.07000886,-117.96764676
8460-005-004,"14161 GARVEY AVE, BALDWIN PARK CA 91706-5001",Commercial,84177,1997,0,0,20000,20942,CURRENT,34.07009468,-117.96743237
8460-005-005,"3005 BIG DALTON AVE, BALDWIN PARK CA 91706-5104",Vacant Land,1061318,,,,,50674,CURRENT,34.07036309,-117.96702091
8460-005-008,"3035 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,746877,1962,3,3,1160,6851,CURRENT,34.07109127,-117.96682694
8460-005-009,"3033 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,245608,1962,3,2,1120,6017,CURRENT,34.0709184,-117.96659092
8460-005-010,"3031 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,568598,1962,3,2,1120,6022,CURRENT,34.07075672,-117.9663705
8460-005-011,"3029 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,192984,1926,4,2,1280,6028,CURRENT,34.07059495,-117.96615001
8460-005-012,"3043 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,262857,1962,3,2,1120,5747,CURRENT,34.07073478,-117.96600126
8460-005-013,"3041 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,312598,1962,3,2,1120,5746,CURRENT,34.07089642,-117.9662218
8460-005-014,"3039 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,242545,1962,3,2,1120,5740,CURRENT,34.071058,-117.96644238
8460-005-015,"3037 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Single Family Residence,485349,1962,3,2,1120,6458,CURRENT,34.0712298,-117.96667721
8460-005-016,"3045 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Multi-Family Residence,1656118,1962,6,3,2700,24879,CURRENT,34.0711261474,-117.966196176
8460-005-017,"3055 BIG DALTON AVE, BALDWIN PARK CA 91706-5140",Multi-Family Residence,2633638,1962,8,8,3596,24809,CURRENT,34.0712649051,-117.966046207
8460-005-018,"3103 BIG DALTON AVE, BALDWIN PARK CA 91706-5137",Multi-Family Residence,482164,1926,2,1,832,24710,CURRENT,34.071403599,-117.9658963
8460-005-019,"3111 BIG DALTON AVE, BALDWIN PARK CALIF",Single Family Residence,0,,,,,,CURRENT,,
8460-005-020,"3115 BIG DALTON AVE, BALDWIN PARK CALIF",Single Family Residence,0,,,,,,CURRENT,,
8460-005-024,"14173 GARVEY AVE, BALDWIN PARK CA 91706-5001",Vacant Land,0,,,,,,CURRENT,,
8460-005-025,"3019 BIG DALTON AVE, BALDWIN PARK CA 91706-5102",Multi-Family Residence,696344,1926,2,2,868,50092,CURRENT,34.0706405,-117.96672085
8460-005-026,"14145 GARVEY AVE, BALDWIN PARK CA 91706-5001",Industrial,677124,1957,0,0,2620,14222,CURRENT,34.06992195,-117.96786454
8460-005-027,"14344 JEANETTE LN, BALDWIN PARK CA 91706-5111",Single Family Residence,141281,1974,3,2,1352,10391,CURRENT,34.0720820893,-117.965449005
8460-005-028,"3131 BIG DALTON AVE, BALDWIN PARK CA 91706-5106",Vacant Land,0,,,,,12054,CURRENT,34.071685394286256,-117.96495520016497
8460-005-029,"14342 JEANETTE LN, BALDWIN PARK CA 91706-5111",Single Family Residence,293339,1974,3,2,1906,10367,CURRENT,34.0719398409,-117.96560501
8460-005-030,"3125 BIG DALTON AVE, BALDWIN PARK CA 91706-5106",Single Family Residence,587613,1936,1,1,728,11937,CURRENT,34.0716494589,-117.965209754
8460-005-031,"14340 JEANETTE LN, BALDWIN PARK CA 91706-5111",Single Family Residence,324610,1989,3,2,1160,5248,CURRENT,34.0718230013,-117.965790647
8460-005-032,"3115 BIG DALTON AVE, BALDWIN PARK CA 91706-5106",Single Family Residence,357155,1959,5,2,1443,9943,CURRENT,34.0716028137,-117.965508275
8460-005-033,"3117 BIG DALTON AVE, BALDWIN PARK CA 91706-5106",Single Family Residence,250104,1988,3,2,1594,4990,CURRENT,34.0714547258,-117.96524921
8460-005-034,"3111 BIG DALTON AVE, BALDWIN PARK CALIF",Condominium,0,,,,,,CURRENT,,
8460-005-035,"3111 BIG DALTON AVE, NO A, BALDWIN PARK CA 91706-5106",Condominium,179114,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-036,"3111 BIG DALTON AVE, B, BALDWIN PARK CA 91706-5106",Condominium,265888,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-037,"3111 1/2 BIG DALTON AVE, A, BALDWIN PARK CA 91706-5106",Condominium,141178,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-038,"3111 1/2 BIG DALTON AVE, B, BALDWIN PARK CA 91706-5106",Condominium,149483,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-039,"3113 BIG DALTON AVE, # A, BALDWIN PARK CA 91706-5106",Condominium,320279,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-040,"3113 BIG DALTON AVE, B, BALDWIN PARK CA 91706-5106",Condominium,310734,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-041,"3113 BIG DALTON AVE, C, BALDWIN PARK CA 91706-5106",Condominium,342310,1991,2,3,1447,24666,CURRENT,34.0715422309,-117.965746332
8460-005-042,"3131 BIG DALTON AVE, BALDWIN PARK CA 91706-5106",Single Family Residence,766356,2004,4,3,2434,5324,CURRENT,34.0717098888,-117.96498112
8460-005-043,"3133 BIG DALTON AVE, BALDWIN PARK CA 91706-5106",Single Family Residence,380786,2004,4,3,2434,6730,CURRENT,34.0718891641,-117.965199431
8460-005-044,"14137 GARVEY AVE, BALDWIN PARK CA 91706-5001",Commercial,813612,2013,0,0,4896,20622,CURRENT,34.06977944,-117.96822127
