ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8469-018-032,"938 W PRINCESS PALM ST, WEST COVINA CA 91790-4106",Single Family Residence,493724,1993,2,3,1545,3066,CURRENT,34.0600325976,-117.938351445
8469-018-033,"936 W PRINCESS PALM ST, WEST COVINA CA 91790-4106",Single Family Residence,372713,1993,4,3,1849,3200,CURRENT,34.0599704943,-117.93825753
8469-018-034,"932 W PRINCESS PALM ST, WEST COVINA CA 91790-4106",Single Family Residence,374445,1993,2,3,1545,3648,CURRENT,34.0599179859,-117.938153148
8469-018-035,"928 W PRINCESS PALM ST, WEST COVINA CA 91790-4106",Single Family Residence,370432,1993,4,3,1841,4762,CURRENT,34.059868168,-117.938040852
8469-018-036,"926 W PRINCESS PALM ST, WEST COVINA CA 91790-4106",Single Family Residence,364090,1993,4,3,1957,3476,CURRENT,34.0598640357,-117.937893284
8469-018-037,"920 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,659303,1993,3,3,1448,2851,CURRENT,34.059824165,-117.937774775
8469-018-038,"916 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,580539,1993,3,3,1448,2953,CURRENT,34.0597554991,-117.937687699
8469-018-039,"912 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,359757,1993,2,3,1545,3140,CURRENT,34.059683959,-117.937605318
8469-018-040,"910 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,385456,1993,4,3,1957,3148,CURRENT,34.0596172267,-117.937518078
8469-018-041,"906 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,467100,1993,4,3,1841,3137,CURRENT,34.0595514141,-117.937429389
8469-018-042,"902 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,347761,1993,2,3,1545,3114,CURRENT,34.0594856684,-117.937340562
8469-018-043,"900 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,395247,1993,4,3,1957,3885,CURRENT,34.0594188691,-117.93723379
8469-018-044,"903 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,485801,1993,3,3,1448,3498,CURRENT,34.0596485117,-117.936983826
8469-018-045,"911 W PRINCESS PALM ST, WEST COVINA CA 91790-4103",Single Family Residence,364728,1993,2,3,1545,3047,CURRENT,34.0598373188,-117.937224068
