ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8490-008-002,"1155 S LARK ELLEN AVE, WEST COVINA CA 91791-3500",Single Family Residence,484670,1952,3,2,1543,9933,CURRENT,34.0542047929,-117.917075749
8490-008-003,"1339 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,271339,1952,3,2,1788,9427,CURRENT,34.0542057599,-117.917331381
8490-008-004,"1335 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,290281,1952,3,2,1398,10036,CURRENT,34.0542080217,-117.917587628
8490-008-005,"1327 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,950000,1952,4,3,2423,9344,CURRENT,34.0542107182,-117.917842468
8490-008-006,"1323 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,277357,1952,3,2,1370,9935,CURRENT,34.0542100429,-117.918097256
8490-008-007,"1315 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,459730,1952,3,2,1787,9644,CURRENT,34.0542059613,-117.918364625
8490-008-008,"1307 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,428393,1952,3,2,1863,9310,CURRENT,34.0542014242,-117.91863482
8490-008-009,"1303 E MERCED AVE, WEST COVINA CA 91790-5332",Single Family Residence,788361,1952,4,3,2162,9179,CURRENT,34.0542021359,-117.918906587
8490-008-010,"1247 E MERCED AVE, WEST COVINA CA 91790-5330",Single Family Residence,327109,1952,3,2,1433,9188,CURRENT,34.0542048454,-117.91917728
8490-008-011,"1239 E MERCED AVE, WEST COVINA CA 91790-5330",Single Family Residence,675422,1952,3,2,1802,9193,CURRENT,34.0542074959,-117.919447973
8490-008-012,"1235 E MERCED AVE, WEST COVINA CA 91790-5330",Single Family Residence,943500,1952,3,2,1428,9178,CURRENT,34.0542101765,-117.919718342
8490-008-013,"1231 E MERCED AVE, WEST COVINA CA 91790-5330",Single Family Residence,757789,1953,3,2,1949,9218,CURRENT,34.0542128446,-117.919988899
8490-008-014,"1223 E MERCED AVE, WEST COVINA CA 91790-5330",Single Family Residence,768523,1952,3,2,1371,9216,CURRENT,34.054215557,-117.920259773
8490-008-015,"1215 E MERCED AVE, WEST COVINA CA 91790-5330",Single Family Residence,284597,1952,3,3,1802,8738,CURRENT,34.0542129231,-117.92052386
8490-008-016,"1340 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,223962,1953,3,2,1543,9313,CURRENT,34.0545470004,-117.917307422
8490-008-017,"1336 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,423843,1953,3,2,1928,9554,CURRENT,34.0545484631,-117.917560294
8490-008-018,"1326 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,598638,1953,3,2,1635,8639,CURRENT,34.0545514979,-117.917804929
8490-008-019,"1322 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,575355,1953,3,2,1802,9554,CURRENT,34.0545506338,-117.918049643
8490-008-020,"1314 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,241996,1953,3,3,1649,9419,CURRENT,34.0545353717,-117.91830646
8490-008-021,"1308 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,301397,1953,3,3,1571,9367,CURRENT,34.0545187403,-117.918571085
8490-008-022,"1304 E GREENVILLE DR, WEST COVINA CA 91790-5311",Single Family Residence,453518,1953,4,3,1818,9043,CURRENT,34.0545139837,-117.918834755
8490-008-023,"1248 E GREENVILLE DR, WEST COVINA CA 91790-5309",Single Family Residence,587121,1953,3,2,1816,9304,CURRENT,34.0545159238,-117.919097447
8490-008-024,"1240 E GREENVILLE DR, WEST COVINA CA 91790-5309",Single Family Residence,513474,1953,3,2,1428,9219,CURRENT,34.0545187138,-117.919363298
8490-008-025,"1236 E GREENVILLE DR, WEST COVINA CA 91790-5309",Single Family Residence,830866,1953,3,2,1833,9188,CURRENT,34.0545208396,-117.919628114
8490-008-026,"1232 E GREENVILLE DR, WEST COVINA CA 91790-5309",Single Family Residence,591066,1953,3,3,1931,9044,CURRENT,34.0545231336,-117.919891162
8490-008-027,"1224 E GREENVILLE DR, WEST COVINA CA 91790-5309",Single Family Residence,671313,1953,3,2,1488,9311,CURRENT,34.0545251677,-117.920156663
8490-008-028,"1150 S PIMA AVE, WEST COVINA CA 91790-5339",Single Family Residence,539805,1953,3,2,1471,8667,CURRENT,34.0545192528,-117.920419303
8490-023-020,"1128 S FLEETWELL AVE, WEST COVINA CA 91791-3518",Single Family Residence,718004,1960,3,2,1644,8916,CURRENT,34.0550522173,-117.908302258
8490-023-021,"1136 S FLEETWELL AVE, WEST COVINA CA 91791-3518",Single Family Residence,554383,1960,4,4,2268,9034,CURRENT,34.0548388292,-117.908298407
8490-023-022,"1142 S FLEETWELL AVE, WEST COVINA CA 91791-3518",Single Family Residence,739731,1960,3,2,1590,9132,CURRENT,34.0545956193,-117.908259894
8490-023-023,"1148 S FLEETWELL AVE, WEST COVINA CA 91791-3518",Single Family Residence,550337,1960,4,3,1932,10525,CURRENT,34.0543768981,-117.908370819
8490-023-024,"1149 S FLEETWELL AVE, WEST COVINA CA 91791-3519",Single Family Residence,700540,1961,3,2,1749,10632,CURRENT,34.0543815902,-117.908820153
