ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8505-024-001,"203 S SUNSET PL, MONROVIA CA 91016-2511",Single Family Residence,735520,1948,2,2,1086,7203,CURRENT,34.1497752712,-118.015642689
8505-024-002,"209 S SUNSET PL, MONROVIA CA 91016-2511",Single Family Residence,861142,1948,3,2,1744,7386,CURRENT,34.1495715282,-118.015633508
8505-024-003,"215 S SUNSET PL, MONROVIA CA 91016-2511",Single Family Residence,758968,1947,3,2,1315,7460,CURRENT,34.1493653063,-118.015628974
8505-024-004,"221 S SUNSET PL, MONROVIA CA 91016-2511",Single Family Residence,277408,1948,2,1,923,7471,CURRENT,34.1491575044,-118.015624389
8505-024-005,"227 S SUNSET PL, MONROVIA CA 91016-2511",Single Family Residence,189079,1947,3,2,1578,7333,CURRENT,34.1489510454,-118.015621076
8505-024-006,"303 S SUNSET PL, MONROVIA CA 91016-2513",Single Family Residence,673865,1947,2,1,930,7442,CURRENT,34.1487445882,-118.015616985
8505-024-007,"309 S SUNSET PL, MONROVIA CA 91016-2513",Single Family Residence,435721,1949,4,2,2253,7306,CURRENT,34.1485381688,-118.015612751
8505-024-008,"315 S SUNSET PL, MONROVIA CA 91016-2513",Single Family Residence,659415,1950,3,2,1436,7303,CURRENT,34.1483332555,-118.015609246
8505-024-009,"321 S SUNSET PL, MONROVIA CA 91016-2513",Single Family Residence,337036,1947,2,1,1001,7310,CURRENT,34.1481282637,-118.015601745
8505-024-010,"403 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,903564,1950,2,2,1580,7970,CURRENT,34.1479222098,-118.015585974
8505-024-011,"409 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,958800,1948,2,1,920,6614,CURRENT,34.1477439624,-118.015559789
8505-024-012,"415 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,659067,1948,3,1,991,7473,CURRENT,34.147590945,-118.01553701
8505-024-013,"419 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,229571,1949,2,1,820,7077,CURRENT,34.1474431419,-118.015526443
8505-024-014,"423 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,192838,1948,2,1,1242,6751,CURRENT,34.1473058816,-118.015519141
8505-024-015,"427 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,316927,1951,3,2,1177,6903,CURRENT,34.1471701576,-118.015518093
8505-024-016,"431 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,863334,1949,3,2,1580,6904,CURRENT,34.14703261,-118.015514791
8505-024-017,"435 S SUNSET PL, MONROVIA CA 91016-2515",Single Family Residence,786101,1948,4,2,1542,6662,CURRENT,34.1468970577,-118.015514198
8505-025-001,"814 W FOOTHILL BLVD, MONROVIA CA 91016-1914",Commercial,1591811,1961,0,0,2842,11600,CURRENT,34.1508989274,-118.016210137
8505-025-002,"111 S SUNSET PL, MONROVIA CA 91016-2509",Single Family Residence,1054394,1951,3,3,1552,7682,CURRENT,34.1506357941,-118.016203112
