ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8468-011-001,"1632 W ROBINDALE ST, WEST COVINA CA 91790-2621",Single Family Residence,532702,1949,2,2,1306,7258,CURRENT,34.0664730705,-117.946641422
8468-011-002,"1702 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,387468,1949,2,1,929,7460,CURRENT,34.066592844,-117.946752926
8468-011-003,"1704 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,379126,1949,3,2,1689,7556,CURRENT,34.0666852099,-117.946904895
8468-011-004,"1710 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,405918,1949,4,2,1886,7307,CURRENT,34.0667861033,-117.947042906
8468-011-005,"1712 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,275803,1949,3,1,1099,7294,CURRENT,34.0668857898,-117.94717821
8468-011-006,"1720 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,343752,1949,4,3,2451,7470,CURRENT,34.0669863117,-117.947315562
8468-011-007,"1722 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,650668,1949,2,1,934,7466,CURRENT,34.0670882544,-117.947454562
8468-011-008,"1728 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,261776,1949,3,2,1301,7451,CURRENT,34.0671901283,-117.947593627
8468-011-009,"1730 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,667670,1949,4,2,1585,7440,CURRENT,34.0672920929,-117.947732541
8468-011-010,"1734 W ROBINDALE ST, WEST COVINA CA 91790-2623",Single Family Residence,270520,1949,2,1,1267,7311,CURRENT,34.0673923452,-117.947871356
8468-011-011,"1735 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,460803,1949,3,1,1170,7338,CURRENT,34.067120618,-117.948159512
8468-011-012,"1733 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,836400,1949,3,2,1399,7459,CURRENT,34.0670183972,-117.948022928
8468-011-013,"1727 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,1764600,1949,4,4,1821,7466,CURRENT,34.0669163075,-117.947884257
8468-011-014,"1725 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,413743,1949,3,1,1099,7476,CURRENT,34.066814113,-117.94774556
8468-011-015,"1717 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,443872,1949,2,1,929,7474,CURRENT,34.0667119114,-117.947606907
8468-011-016,"1715 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,232524,1949,3,1,1099,7416,CURRENT,34.0666193071,-117.947457409
8468-011-017,"1711 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,445886,1949,3,1,1174,7506,CURRENT,34.0665134118,-117.94732851
8468-011-018,"1015 S WALNUT CREEK PKWY, WEST COVINA CA 91790-2647",Single Family Residence,175467,1949,3,1,1170,7454,DELINQUENT,34.0663980929,-117.947038501
8468-011-019,"1707 W LEEWOOD ST, WEST COVINA CA 91790-2604",Single Family Residence,899903,1949,3,2,1795,7436,CURRENT,34.0663277968,-117.947315956
8468-011-020,"1712 W LEEWOOD ST, WEST COVINA CA 91790-2603",Single Family Residence,214715,1949,3,1,1099,8447,CURRENT,34.06621787,-117.947853395
8468-011-021,"1716 W LEEWOOD ST, WEST COVINA CA 91790-2603",Single Family Residence,452168,1949,2,1,1170,7507,CURRENT,34.0663179751,-117.948025809
8468-011-022,"1724 W LEEWOOD ST, WEST COVINA CA 91790-2603",Single Family Residence,599362,1949,2,1,929,7509,CURRENT,34.0664198707,-117.948165017
8468-011-023,"1726 W LEEWOOD ST, WEST COVINA CA 91790-2603",Single Family Residence,300212,1949,3,1,1099,7509,CURRENT,34.0665218399,-117.948304123
8468-011-024,"1732 W LEEWOOD ST, WEST COVINA CA 91790-2603",Single Family Residence,498879,1949,5,2,1701,7518,CURRENT,34.0666238005,-117.948443291
8468-011-025,"1734 W LEEWOOD ST, WEST COVINA CA 91790-2603",Single Family Residence,640426,1949,3,1,1968,7382,CURRENT,34.0667244382,-117.948581779
8468-011-026,"1735 W MOSSBERG AVE, WEST COVINA CA 91790-2610",Single Family Residence,1045418,1978,4,4,3913,7785,CURRENT,34.0664513678,-117.94885736
8468-011-027,"1731 W MOSSBERG AVE, WEST COVINA CA 91790-2610",Single Family Residence,286016,1978,3,2,1470,7897,CURRENT,34.0663519313,-117.948679458
8468-011-028,"1727 W MOSSBERG AVE, WEST COVINA CA 91790-2610",Single Family Residence,282302,1978,3,2,1470,9399,CURRENT,34.0662174613,-117.948449627
8468-011-029,"1721 W MOSSBERG AVE, WEST COVINA CA 91790-2610",Single Family Residence,766633,1978,4,2,1677,12611,CURRENT,34.0660062747,-117.94815367
8468-011-030,"1717 W MOSSBERG AVE, WEST COVINA CA 91790-2610",Single Family Residence,816514,1978,4,2,1677,11375,DELINQUENT,34.0659268193,-117.948384083
8468-011-031,"1716 W MOSSBERG AVE, WEST COVINA CA 91790-2609",Single Family Residence,731786,1978,3,2,1470,10160,CURRENT,34.0658204077,-117.948644425
8468-011-032,"1722 W MOSSBERG AVE, WEST COVINA CA 91790-2609",Single Family Residence,177835,1978,4,2,1677,9176,CURRENT,34.0657846087,-117.948945369
