ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8490-023-025,"1143 S FLEETWELL AVE, WEST COVINA CA 91791-3519",Single Family Residence,794995,1959,3,2,2109,9236,CURRENT,34.0546004444,-117.908923539
8490-023-026,"1137 S FLEETWELL AVE, WEST COVINA CA 91791-3519",Single Family Residence,475668,1958,3,3,1844,9350,CURRENT,34.054843292,-117.908878248
8490-023-027,"1732 E GREENVILLE DR, WEST COVINA CA 91791-3527",Single Family Residence,316841,1959,3,2,1740,9093,CURRENT,34.0550586746,-117.908871454
8490-023-028,"1128 S AUBURN DR, WEST COVINA CA 91791-3514",Single Family Residence,1020000,1959,3,2,1902,9073,CURRENT,34.05506111,-117.909259275
8490-023-029,"1136 S AUBURN DR, WEST COVINA CA 91791-3514",Single Family Residence,761337,1960,4,3,1920,9289,CURRENT,34.0548459689,-117.909258398
8490-023-030,"1142 S AUBURN DR, WEST COVINA CA 91791-3514",Single Family Residence,235086,1959,4,4,2765,9118,CURRENT,34.0546022906,-117.909220127
8490-023-031,"1148 S AUBURN DR, WEST COVINA CA 91791-3514",Single Family Residence,812402,1960,4,3,2707,10577,CURRENT,34.0543855976,-117.909332029
8490-023-032,"1149 S AUBURN DR, WEST COVINA CA 91791-3515",Single Family Residence,616321,1960,4,2,1689,10527,CURRENT,34.0543899522,-117.909785092
8490-023-033,"1143 S AUBURN DR, WEST COVINA CA 91791-3515",Single Family Residence,359757,1959,3,2,1860,9254,CURRENT,34.0546102864,-117.909889077
8490-023-034,"1137 S AUBURN DR, WEST COVINA CA 91791-3515",Single Family Residence,500141,1959,3,3,1838,9200,CURRENT,34.0548527246,-117.90984239
8490-023-035,"1129 S AUBURN DR, WEST COVINA CA 91791-3515",Single Family Residence,722513,1959,3,3,2234,9021,CURRENT,34.0550661052,-117.909836096
8490-023-036,"1128 S RIMSDALE DR, WEST COVINA CA 91791-3548",Single Family Residence,962103,1960,4,4,2312,8994,CURRENT,34.0550699411,-117.910222391
8490-023-037,"1136 S RIMSDALE DR, WEST COVINA CA 91791-3548",Single Family Residence,960391,1959,4,3,1840,9362,CURRENT,34.0548551059,-117.910226376
8490-023-038,"1142 S RIMSDALE DR, WEST COVINA CA 91791-3548",Single Family Residence,579925,1959,3,3,1824,10362,CURRENT,34.0546215467,-117.910215442
8490-023-039,"1148 S RIMSDALE DR, WEST COVINA CA 91791-3548",Single Family Residence,88444,1961,3,2,1659,12871,CURRENT,34.0543990005,-117.910328321
8490-023-040,"1149 S RIMSDALE DR, WEST COVINA CA 91791-3549",Single Family Residence,1040399,1961,3,2,1789,14732,CURRENT,34.0544009811,-117.910915928
8490-023-041,"1143 S RIMSDALE DR, WEST COVINA CA 91791-3549",Single Family Residence,613047,1961,3,2,2481,13896,CURRENT,34.0546143775,-117.91104058
8490-023-042,"1137 S RIMSDALE DR, WEST COVINA CA 91791-3549",Single Family Residence,317563,1960,3,2,1745,9775,CURRENT,34.0548490455,-117.910810954
8490-023-043,"1129 S RIMSDALE DR, WEST COVINA CA 91791-3549",Single Family Residence,592444,1959,4,3,2206,9574,CURRENT,34.0550677423,-117.910803346
8490-023-044,"1630 E GREENVILLE DR, WEST COVINA CA 91791-3525",Single Family Residence,125036,1960,3,3,1878,12215,CURRENT,34.0549492093,-117.911135839
8490-023-045,"1622 E GREENVILLE DR, WEST COVINA CA 91791-3525",Single Family Residence,205604,1960,3,3,1878,9780,CURRENT,34.0549661089,-117.911400289
8490-023-046,"1616 E GREENVILLE DR, WEST COVINA CA 91791-3525",Single Family Residence,546369,1960,3,3,1948,9578,CURRENT,34.0549629942,-117.911666113
8490-023-047,"1140 S GLENVIEW RD, WEST COVINA CA 91791-3524",Single Family Residence,609294,1960,3,3,1878,14466,CURRENT,34.0546744721,-117.911539374
8490-023-048,"1148 S GLENVIEW RD, WEST COVINA CA 91791-3524",Single Family Residence,1373604,1960,4,4,2966,14383,CURRENT,34.054427497,-117.911543099
8490-031-001,"1026 S FLEETWELL AVE, WEST COVINA CA 91791-3516",Single Family Residence,85700,1956,3,3,1727,8795,CURRENT,34.0564450683,-117.908278521
8490-031-002,"1032 S FLEETWELL AVE, WEST COVINA CA 91791-3516",Single Family Residence,354073,1956,3,3,2010,9097,CURRENT,34.0562309509,-117.908277753
8490-031-003,"1100 S FLEETWELL AVE, WEST COVINA CA 91791-3516",Single Family Residence,480659,1956,4,3,2232,8911,CURRENT,34.0559882898,-117.908238342
8490-031-004,"1108 S FLEETWELL AVE, WEST COVINA CA 91791-3516",Single Family Residence,391758,1956,5,3,1733,11276,CURRENT,34.0557627744,-117.90834895
8490-031-005,"1109 S FLEETWELL AVE, WEST COVINA CA 91791-3517",Single Family Residence,658149,1956,2,3,1928,11524,CURRENT,34.0557689531,-117.908804276
8490-031-006,"1101 S FLEETWELL AVE, WEST COVINA CA 91791-3517",Single Family Residence,874963,1957,4,3,1866,8881,CURRENT,34.05599652,-117.908908023
8490-031-007,"1033 S FLEETWELL AVE, WEST COVINA CA 91791-3517",Single Family Residence,168289,1957,3,2,2194,9292,CURRENT,34.0562364535,-117.908858494
8490-031-008,"1027 S FLEETWELL AVE, WEST COVINA CA 91791-3517",Single Family Residence,98710,1963,3,3,1690,9119,CURRENT,34.0564513155,-117.908851418
