ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8464-009-024,"1455 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,351681,1957,3,2,1261,6007,CURRENT,34.061363703,-117.968148057
8464-009-025,"1461 N SIESTA AVE, LA PUENTE CA 91746-1150",Single Family Residence,585975,1957,3,2,1251,5946,CURRENT,34.0614816528,-117.968022846
8464-009-026,"1467 N SIESTA AVE, LA PUENTE CA 91746-1150",Single Family Residence,485808,1957,4,2,1972,5854,CURRENT,34.0615976809,-117.967898701
8464-009-027,"1503 N SIESTA AVE, LA PUENTE CA 91746-1152",Single Family Residence,262797,1957,3,2,1261,6056,CURRENT,34.0617152838,-117.967774227
8464-009-028,"1509 N SIESTA AVE, VALINDA CA 91746-1152",Single Family Residence,58441,1957,3,2,1148,6041,CURRENT,34.0618340176,-117.967647527
8464-009-029,"1515 N SIESTA AVE, LA PUENTE CA 91746-1152",Single Family Residence,56935,1957,3,2,1141,5807,CURRENT,34.0619495851,-117.967523125
8464-020-001,"1126 MAYLAND AVE, LA PUENTE CA 91746-1627",Single Family Residence,471208,1957,3,2,1444,6027,CURRENT,34.0581741219,-117.971784888
8464-020-002,"1120 MAYLAND AVE, LA PUENTE CA 91746-1627",Single Family Residence,180738,1957,3,2,1148,6034,CURRENT,34.0580477521,-117.971906835
8464-020-003,"1114 MAYLAND AVE, VALINDA CA 91746-1627",Single Family Residence,546598,1957,3,2,1237,6033,CURRENT,34.0579212517,-117.972028775
8464-020-004,"1108 MAYLAND AVE, LA PUENTE CA 91746-1627",Single Family Residence,168804,1957,4,2,1312,6030,CURRENT,34.0577948748,-117.972150604
8464-020-005,"1102 MAYLAND AVE, LA PUENTE CA 91746-1627",Single Family Residence,445885,1957,3,2,1251,6034,CURRENT,34.0576684755,-117.972272461
8464-020-006,"1044 MAYLAND AVE, LA PUENTE CA 91746-1626",Single Family Residence,471226,1957,3,2,1624,6042,CURRENT,34.0575420692,-117.972394462
8464-020-007,"1038 MAYLAND AVE, LA PUENTE CA 91746-1626",Single Family Residence,522140,1957,3,2,1148,6030,CURRENT,34.0574156524,-117.972516331
8464-020-008,"1032 MAYLAND AVE, LA PUENTE CA 91746-1626",Single Family Residence,254842,1957,3,2,1141,6042,CURRENT,34.057289239,-117.972638175
8464-020-009,"1026 MAYLAND AVE, LA PUENTE CA 91746-1626",Single Family Residence,320522,1957,3,1,1524,6040,CURRENT,34.0571628855,-117.972760189
8464-020-010,"1020 MAYLAND AVE, VALINDA CA 91746-1626",Single Family Residence,178136,1957,3,2,1251,6053,CURRENT,34.0570364203,-117.972882123
8464-020-011,"1014 MAYLAND AVE, VALINDA CA 91746-1626",Single Family Residence,606136,1957,3,2,1561,6039,CURRENT,34.056909955,-117.973004038
8464-020-012,"1008 MAYLAND AVE, VALINDA CA 91746-1626",Single Family Residence,405091,1957,6,3,2016,5944,CURRENT,34.0567846142,-117.973124976
8464-020-013,"1002 MAYLAND AVE, LA PUENTE CA 91746-1626",Single Family Residence,191290,1957,4,2,1306,6409,CURRENT,34.0566546816,-117.973248521
8464-020-014,"1003 N SIESTA AVE, LA PUENTE CA 91746-1654",Single Family Residence,233592,1957,3,2,1485,6545,CURRENT,34.0564781314,-117.972985658
8464-020-015,"1009 N SIESTA AVE, VALINDA CA 91746-1654",Single Family Residence,124297,1957,4,3,1672,5993,CURRENT,34.0566078314,-117.97285982
8464-020-016,"1015 N SIESTA AVE, LA PUENTE CA 91746-1654",Single Family Residence,442109,1957,4,2,1312,6092,CURRENT,34.0567332406,-117.972739043
8464-020-017,"1021 N SIESTA AVE, VALINDA CA 91746-1654",Single Family Residence,801210,1957,3,2,1261,6090,CURRENT,34.0568597899,-117.972617179
8464-020-018,"1027 N SIESTA AVE, LA PUENTE CA 91746-1654",Single Family Residence,754800,1957,4,2,1685,6070,DELINQUENT,34.056986248,-117.972495485
8464-020-019,"1033 N SIESTA AVE, LA PUENTE CA 91746-1654",Single Family Residence,376964,1957,4,2,1312,6086,CURRENT,34.0571126956,-117.972373674
8464-020-020,"1039 N SIESTA AVE, LA PUENTE CA 91746-1654",Single Family Residence,426516,1957,4,3,1491,6073,CURRENT,34.0572391947,-117.972251785
8464-020-021,"1103 N SIESTA AVE, LA PUENTE CA 91746-1656",Single Family Residence,394973,1957,3,2,1124,6065,CURRENT,34.0573656662,-117.972130145
8464-020-022,"1109 N SIESTA AVE, LA PUENTE CA 91746-1656",Single Family Residence,398237,1957,3,2,1148,6063,CURRENT,34.0574922011,-117.972008392
8464-020-023,"1115 N SIESTA AVE, LA PUENTE CA 91746-1656",Single Family Residence,286779,1957,3,2,1261,6056,CURRENT,34.0576186637,-117.971886633
8464-020-024,"1121 N SIESTA AVE, LA PUENTE CA 91746-1656",Single Family Residence,359355,1957,3,2,1251,6058,CURRENT,34.0577451091,-117.971764815
8464-020-025,"1127 N SIESTA AVE, LA PUENTE CA 91746-1656",Single Family Residence,425116,1957,3,2,1258,6054,CURRENT,34.0578716075,-117.971643008
8464-020-026,"1133 N SIESTA AVE, LA PUENTE CA 91746-1656",Single Family Residence,695089,1957,3,2,1261,6044,CURRENT,34.0579980664,-117.971521199
