ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8472-015-004,"920 EVANWOOD AVE, LA PUENTE CA 91744-1819",Single Family Residence,232690,1955,4,2,1254,6022,CURRENT,34.0436658057,-117.959565327
8472-015-005,"926 EVANWOOD AVE, LA PUENTE CA 91744-1819",Single Family Residence,304152,1955,4,2,1257,6077,CURRENT,34.0437835906,-117.959441148
8472-015-006,"932 EVANWOOD AVE, LA PUENTE CA 91744-1819",Single Family Residence,375863,1955,3,2,1116,6217,DELINQUENT,34.0439033485,-117.959316463
8472-015-007,"938 EVANWOOD AVE, LA PUENTE CA 91744-1819",Single Family Residence,780300,1955,4,2,1257,6209,CURRENT,34.0440226313,-117.959189297
8472-015-008,"944 EVANWOOD AVE, LA PUENTE CA 91744-1819",Single Family Residence,667965,1955,3,2,1116,6204,CURRENT,34.0441415005,-117.959063
8472-015-009,"943 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,689785,1955,3,2,1116,6202,CURRENT,34.0439486075,-117.958804982
8472-015-010,"937 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,446755,1955,3,2,1257,6028,CURRENT,34.0438263505,-117.958932405
8472-015-011,"931 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,763112,1955,4,2,1257,6083,CURRENT,34.0437070098,-117.959060509
8472-015-012,"927 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,278873,1955,4,2,1494,5978,CURRENT,34.0435873867,-117.959186827
8472-015-013,"921 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,672620,1955,4,2,1257,5838,CURRENT,34.0434701636,-117.959310771
8472-015-014,"915 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,221801,1955,3,2,1116,5950,CURRENT,34.0433540106,-117.959435384
8472-015-015,"909 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,520624,1955,4,2,1257,5756,CURRENT,34.0432418229,-117.959575123
8472-015-016,"903 GLENSHAW DR, LA PUENTE CA 91744-1934",Single Family Residence,57187,1955,3,2,1116,6024,CURRENT,34.0430854956,-117.95967322
8472-016-001,"14821 RAGUS ST, LA PUENTE CA 91744-1835",Single Family Residence,162670,1957,3,2,1064,7598,CURRENT,34.044972625,-117.957346112
8472-016-002,"14818 RAGUS ST, LA PUENTE CA 91744-1835",Single Family Residence,624732,1957,3,2,1071,8300,CURRENT,34.0448370947,-117.957553593
8472-016-003,"14812 RAGUS ST, LA PUENTE CA 91744-1835",Single Family Residence,163306,1957,3,2,1482,6899,CURRENT,34.0449410566,-117.957754691
8472-016-004,"14808 RAGUS ST, LA PUENTE CA 91744-1835",Single Family Residence,68430,1957,3,2,1064,6501,CURRENT,34.0450907131,-117.957895799
8472-016-005,"1036 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,427039,1957,4,2,1739,6585,CURRENT,34.0452015682,-117.958042568
8472-016-006,"1002 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,321528,1955,4,2,1392,6324,CURRENT,34.04438821,-117.958804736
8472-016-007,"1008 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,268895,1955,4,2,1257,6229,CURRENT,34.044509258,-117.958677929
8472-016-008,"1014 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,310705,1955,4,2,1257,6105,CURRENT,34.0446279276,-117.958552212
8472-016-009,"1020 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,374589,1955,3,2,1392,6212,CURRENT,34.0447463477,-117.958425705
8472-016-010,"1026 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,161614,1955,4,2,1257,6263,CURRENT,34.0448673488,-117.958298548
8472-016-011,"1030 EVANWOOD AVE, LA PUENTE CA 91744-1821",Single Family Residence,265181,1955,3,2,1116,6234,CURRENT,34.044988437,-117.958170158
8472-016-012,"1033 GLENSHAW DR, LA PUENTE CA 91744-1935",Single Family Residence,293811,1955,4,2,1257,6631,CURRENT,34.0447900268,-117.95789084
8472-016-013,"1027 GLENSHAW DR, LA PUENTE CA 91744-1935",Single Family Residence,701655,1955,3,2,1116,6372,CURRENT,34.0446733357,-117.958049183
8472-016-014,"1021 GLENSHAW DR, LA PUENTE CA 91744-1935",Single Family Residence,408226,1955,4,3,1705,6223,CURRENT,34.0445422098,-117.958168687
8472-016-015,"1015 GLENSHAW DR, LA PUENTE CA 91744-1935",Single Family Residence,310232,1955,4,2,1257,6074,CURRENT,34.0444251864,-117.958290917
8472-016-016,"1009 GLENSHAW DR, LA PUENTE CA 91744-1935",Single Family Residence,286652,1955,4,2,1347,6099,CURRENT,34.0443097801,-117.958411676
8472-016-017,"1003 GLENSHAW DR, LA PUENTE CA 91744-1935",Single Family Residence,491314,1955,3,2,1116,6434,CURRENT,34.044192543,-117.958537285
