ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8463-011-001,"1425 S ARDILLA AVE, WEST COVINA CA 91790-2407",Single Family Residence,242968,1955,3,2,1210,7166,CURRENT,34.0668185525,-117.961168156
8463-011-002,"1419 S ARDILLA AVE, WEST COVINA CA 91790-2407",Single Family Residence,295077,1955,3,2,1273,7181,CURRENT,34.0669587419,-117.961019679
8463-011-003,"1413 S ARDILLA AVE, WEST COVINA CA 91790-2407",Single Family Residence,710605,1955,3,2,1742,7198,CURRENT,34.0670990082,-117.960870994
8463-011-004,"1409 S ARDILLA AVE, WEST COVINA CA 91790-2407",Single Family Residence,525892,1955,3,2,1247,7192,CURRENT,34.0672392521,-117.960722395
8463-011-005,"1401 S ARDILLA AVE, WEST COVINA CA 91790-2407",Single Family Residence,307211,1955,3,2,1625,7205,CURRENT,34.0673794598,-117.960573819
8463-011-006,"1345 S ARDILLA AVE, WEST COVINA CA 91790-2404",Single Family Residence,642866,1955,3,2,1350,7217,CURRENT,34.0675197411,-117.960425052
8463-011-007,"1339 S ARDILLA AVE, WEST COVINA CA 91790-2404",Single Family Residence,590709,1955,3,2,1567,7212,CURRENT,34.067659993,-117.960276448
8463-011-008,"1333 S ARDILLA AVE, WEST COVINA CA 91790-2404",Single Family Residence,608733,1955,3,2,1273,7229,CURRENT,34.0678001915,-117.960127854
8463-011-009,"1327 S ARDILLA AVE, WEST COVINA CA 91790-2404",Single Family Residence,750697,1955,3,2,1378,7240,CURRENT,34.0679404723,-117.95997922
8463-011-010,"1323 S ARDILLA AVE, WEST COVINA CA 91790-2404",Single Family Residence,57940,1955,3,2,1247,7233,CURRENT,34.0680806738,-117.959830608
8463-011-011,"1304 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,177853,1947,6,3,2786,12025,CURRENT,34.0682468141,-117.960238443
8463-011-012,"1310 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,315052,1947,3,2,1707,12029,CURRENT,34.0680906626,-117.960403644
8463-011-013,"1316 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,667655,1947,3,2,1754,12027,CURRENT,34.067934444,-117.960568831
8463-011-014,"1320 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,720961,1947,3,1,1683,12028,CURRENT,34.0677782887,-117.960734056
8463-011-015,"1326 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,207855,1947,3,2,1518,12022,CURRENT,34.0676220301,-117.960899193
8463-011-016,"1332 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,401126,1947,5,3,2116,12022,CURRENT,34.067465816,-117.961064466
8463-011-017,"1338 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,439034,1947,3,3,2217,12018,CURRENT,34.0673096377,-117.961229762
8463-011-018,"1344 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,626710,1947,3,1,1083,12013,CURRENT,34.0671533578,-117.961394887
8463-011-019,"1350 S SIESTA AVE, WEST COVINA CA 91790-2443",Single Family Residence,899945,1949,4,2,1498,12003,CURRENT,34.0669971275,-117.961559904
