ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8469-001-016,"1233 W CRUMLEY ST, WEST COVINA CA 91790-3514",Single Family Residence,74199,1960,4,2,1563,8921,CURRENT,34.0651087308,-117.939630163
8469-001-017,"1227 W CRUMLEY ST, WEST COVINA CA 91790-3514",Single Family Residence,318271,1960,4,2,1787,8939,CURRENT,34.0649644088,-117.939432987
8469-001-018,"1219 W CRUMLEY ST, WEST COVINA CA 91790-3514",Single Family Residence,408580,1960,5,3,2382,9180,CURRENT,34.0648183611,-117.939233704
8469-001-019,"1213 W CRUMLEY ST, WEST COVINA CA 91790-3514",Single Family Residence,558171,1960,4,2,1379,8928,CURRENT,34.0646861657,-117.938972991
8469-001-020,"1205 W CRUMLEY ST, WEST COVINA CA 91790-3514",Single Family Residence,473911,1960,4,3,2677,10844,CURRENT,34.0644773333,-117.938796544
8469-001-021,"837 S EVANWOOD AVE, WEST COVINA CA 91790-3918",Single Family Residence,238143,1954,3,1,1406,8828,CURRENT,34.0642113077,-117.938614149
8469-001-022,"831 S EVANWOOD AVE, WEST COVINA CA 91790-3918",Single Family Residence,502602,1954,3,1,1112,8867,CURRENT,34.0643753586,-117.938438691
8469-001-023,"823 S EVANWOOD AVE, WEST COVINA CA 91790-3918",Single Family Residence,657000,1954,4,2,1748,8962,CURRENT,34.0645413481,-117.938263193
8469-001-024,",",Other Property Type,0,,,,,,DELINQUENT,,
8469-001-025,"817 S EVANWOOD AVE, WEST COVINA CA 91790-3918",Single Family Residence,395518,1955,4,2,1508,8842,CURRENT,34.0647068927,-117.938088066
8469-001-026,"902 S SUNSET AVE, WEST COVINA CA 91790-3407",Single Family Residence,558586,1956,3,4,2553,9374,CURRENT,34.064783487,-117.941946028
8469-001-027,"903 S BRUCE AVE, WEST COVINA CA 91790-3512",Single Family Residence,297842,1956,3,2,1388,9004,CURRENT,34.064571508,-117.941621116
8469-002-001,"1308 W BARBARA AVE, WEST COVINA CA 91790-3510",Single Family Residence,430580,1956,3,2,1548,8708,CURRENT,34.0644502793,-117.940974803
8469-002-002,"1302 W BARBARA AVE, WEST COVINA CA 91790-3510",Single Family Residence,668640,1956,3,2,1432,8965,CURRENT,34.064312253,-117.940789942
8469-002-003,"1232 W BARBARA AVE, WEST COVINA CA 91790-3508",Single Family Residence,477472,1956,4,4,2734,9029,CURRENT,34.0641729809,-117.94060087
8469-002-004,"1226 W BARBARA AVE, WEST COVINA CA 91790-3508",Single Family Residence,331965,1956,3,2,1331,8813,CURRENT,34.0640333788,-117.940415178
8469-002-005,"1218 W BARBARA AVE, WEST COVINA CA 91790-3508",Single Family Residence,427892,1956,3,2,1356,8932,CURRENT,34.0638965461,-117.940228648
8469-002-006,"1212 W BARBARA AVE, WEST COVINA CA 91790-3508",Single Family Residence,83455,1956,3,2,1708,8482,CURRENT,34.0637228438,-117.940059521
8469-002-007,"1206 W BARBARA AVE, WEST COVINA CA 91790-3508",Single Family Residence,161021,1956,4,3,2286,8987,CURRENT,34.0635624296,-117.93983682
8469-002-008,"1204 W BARBARA AVE, WEST COVINA CA 91790-3508",Single Family Residence,520990,1956,3,2,1596,8546,CURRENT,34.06365896,-117.939619375
8469-002-009,"1207 W BARBARA AVE, WEST COVINA CA 91790-3509",Single Family Residence,467386,1956,3,2,1331,9071,CURRENT,34.0638620532,-117.939424648
8469-002-010,"1211 W BARBARA AVE, WEST COVINA CA 91790-3509",Single Family Residence,649456,1956,3,2,1356,9161,CURRENT,34.0640564425,-117.939538645
8469-002-011,"1217 W BARBARA AVE, WEST COVINA CA 91790-3509",Single Family Residence,840000,1956,3,2,1331,9140,CURRENT,34.0642057379,-117.939807876
8469-002-012,"1227 W BARBARA AVE, WEST COVINA CA 91790-3509",Single Family Residence,260504,1956,3,2,1356,8594,CURRENT,34.0643548757,-117.940013538
8469-002-013,"1233 W BARBARA AVE, WEST COVINA CA 91790-3509",Single Family Residence,324808,1956,3,2,1708,8713,CURRENT,34.0645016327,-117.94021206
8469-002-014,"1303 W BARBARA AVE, WEST COVINA CA 91790-3511",Single Family Residence,868530,1956,3,2,1331,8493,CURRENT,34.0646475334,-117.940409234
8469-002-015,"1309 W BARBARA AVE, WEST COVINA CA 91790-3511",Single Family Residence,377942,1956,3,2,1592,8571,CURRENT,34.064792768,-117.940603926
8469-002-016,"1308 W CRUMLEY ST, WEST COVINA CA 91790-3557",Single Family Residence,427045,1956,3,2,1331,8829,CURRENT,34.0650292498,-117.94036484
8469-002-017,"1302 W CRUMLEY ST, WEST COVINA CA 91790-3557",Single Family Residence,251609,1956,3,2,2480,8779,CURRENT,34.0648937819,-117.940180883
8469-002-018,"1232 W CRUMLEY ST, WEST COVINA CA 91790-3513",Single Family Residence,285199,1956,3,2,1356,9270,CURRENT,34.0647568979,-117.939991987
8469-002-019,"1226 W CRUMLEY ST, WEST COVINA CA 91790-3513",Single Family Residence,249160,1956,3,2,1331,9017,CURRENT,34.0646176554,-117.939802827
8469-002-020,"1218 W CRUMLEY ST, WEST COVINA CA 91790-3513",Single Family Residence,627808,1956,3,2,1388,9058,CURRENT,34.0644806109,-117.939616974
