"ain","address","useType","taxStatus","parcelStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","lastBuyDoc","hasFcHist"
"8448-061-001","2200 CALLE DE PLATA, SAN DIMAS CA 91773-5104","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2615","7272","511117","05/27/1997","306500","0779613","False"
"8448-061-002","2206 CALLE DE PLATA, SAN DIMAS CA 91773-5104","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","7550","1101962","12/26/2007","822508","2829988","False"
"8448-061-003","2212 CALLE DE PLATA, SAN DIMAS CA 91773-5104","Single Family Residence","CURRENT","ACTIVE","1997","4","2","2008","7173","1170449","07/11/2023","1125011","0451811","False"
"8448-061-004","2218 CALLE DE PLATA, SAN DIMAS CA 91773-5104","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2615","7031","1035642","11/27/2007","773007","2605283","False"
"8448-061-005","2226 CALLE DE PLATA, SAN DIMAS CA 91773-5104","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","7519","1451357","02/13/2024","1395000","0095959","True"
"8448-061-006","2232 CALLE DE PLATA, SAN DIMAS CA 91773-5104","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2615","7117","512985","05/30/1997","306003","0803623","False"
"8448-061-007","483 CALLE CANELA, SAN DIMAS CA 91773-5100","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2609","8014","941182","04/02/2004","649006","0789971","False"
"8448-061-008","489 CALLE CANELA, SAN DIMAS CA 91773-5100","Single Family Residence","CURRENT","ACTIVE","1997","4","2","2008","7415","441350","10/10/1997","271002","1586939","False"
"8448-061-009","2243 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","4","2","2008","8302","726380","12/09/2019","770000","1360324","False"
"8448-061-010","2237 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2609","7623","920876","12/19/2003","635000","3822585","False"
"8448-061-011","2231 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","7585","500710","10/16/1997","305000","1624701","False"
"8448-061-012","2225 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","DELINQUENT","ACTIVE","1997","4","2","2008","7908","819231","02/22/2019","720007","0160312","False"
"8448-061-013","2219 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","8586","928461","07/27/2017","800008","0845480","False"
"8448-061-014","2213 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2609","8834","474471","10/17/1997","290000","1634439","False"
"8448-061-015","2207 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","11665","947029","11/09/2016","800000","1404838","False"
"8448-061-016","2201 CALLE VIOLETA, SAN DIMAS CA 91773-5105","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2609","8262","483100","10/22/1997","295000","1662586","False"
"8448-061-017","","Vacant Land","CURRENT","DELETED","","","","","","0","","","","False"
"8448-061-018","","Vacant Land","CURRENT","DELETED","","","","","","0","","","","False"
"8448-061-019","2236 CALLE VIOLETA, SAN DIMAS CA 91773-5106","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2609","7016","532772","","","","False"
"8448-061-020","2240 CALLE VIOLETA, SAN DIMAS CA 91773-5106","Single Family Residence","CURRENT","ACTIVE","1997","4","2","2008","7005","915947","09/13/2018","805008","0942649","False"
"8448-061-021","2246 CALLE VIOLETA, SAN DIMAS CA 91773-5106","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","6943","899122","08/11/2003","620006","2301739","False"
"8448-061-022","2252 CALLE VIOLETA, SAN DIMAS CA 91773-5106","Single Family Residence","CURRENT","ACTIVE","1997","4","3","2609","9220","969322","05/16/2008","723500","0872607","False"
"8448-061-023","","Vacant Land","CURRENT","ACTIVE","","","","","4587","9","","","","False"
"8448-061-024","","Vacant Land","CURRENT","ACTIVE","","","","","26638","9","","","","False"
"8448-061-025","","Vacant Land","CURRENT","DELETED","","","","","","0","","","","False"
"8448-061-026","","Vacant Land","CURRENT","ACTIVE","","","","","543451","9","","","","False"
"8448-061-027","","Vacant Land","CURRENT","DELETED","","","","","","0","","","","False"
"8448-061-028","","Vacant Land","CURRENT","DELETED","","","","","","0","","","","False"
"8448-061-029","2228 CALLE VIOLETA, SAN DIMAS CA 91773-5106","Single Family Residence","CURRENT","ACTIVE","1997","5","3","2956","7066","504704","10/20/1997","310000","1643863","False"
"8448-061-030","","Vacant Land","CURRENT","ACTIVE","","","","","116282","9","","","","False"
