ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8464-007-018,"14249 BARRYDALE ST, LA PUENTE CA 91746-1132",Single Family Residence,155115,1957,3,2,1141,6261,CURRENT,34.0589821801,-117.966805153
8464-007-019,"14243 BARRYDALE ST, LA PUENTE CA 91746-1132",Single Family Residence,805800,1957,3,2,1148,6263,CURRENT,34.0590867288,-117.966947293
8464-007-020,"14237 BARRYDALE ST, LA PUENTE CA 91746-1132",Single Family Residence,270656,1957,4,3,1582,6258,CURRENT,34.059191334,-117.967089401
8464-007-021,"14233 BARRYDALE ST, LA PUENTE CA 91746-1132",Single Family Residence,73483,1957,4,2,1312,6249,CURRENT,34.0592958825,-117.967231525
8464-007-022,"14227 BARRYDALE ST, VALINDA CA 91746-1132",Single Family Residence,434472,1957,3,2,1237,6246,CURRENT,34.0594004513,-117.967373563
8464-007-023,"14221 BARRYDALE ST, VALINDA CA 91746-1132",Single Family Residence,499121,1957,5,3,2223,6242,CURRENT,34.0595050509,-117.967515614
8464-007-024,"14215 BARRYDALE ST, VALINDA CA 91746-1132",Single Family Residence,483389,1957,4,2,1312,6239,CURRENT,34.0596095782,-117.96765785
8464-007-025,"14209 BARRYDALE ST, LA PUENTE CA 91746-1132",Single Family Residence,419094,1957,3,2,1141,6233,CURRENT,34.0597141637,-117.967799926
8464-007-026,"14203 BARRYDALE ST, VALINDA CA 91746-1132",Single Family Residence,587114,1957,3,2,1306,6784,DELINQUENT,34.0598241381,-117.967947597
8464-009-001,"14153 DONALDALE ST, VALINDA CA 91746-1023",Single Family Residence,434541,1957,3,2,1841,9915,CURRENT,34.0620939552,-117.967860504
8464-009-002,"1474 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,238203,1957,3,2,1261,6417,CURRENT,34.0619194141,-117.967968816
8464-009-003,"1468 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,289533,1957,3,2,1251,6237,CURRENT,34.0617938898,-117.968136892
8464-009-004,"1462 MAYLAND AVE, LA PUENTE CA 91746-1033",Single Family Residence,615559,1957,4,2,1312,5814,CURRENT,34.061678155,-117.968273774
8464-009-005,"1456 MAYLAND AVE, LA PUENTE CA 91746-1033",Single Family Residence,633220,1957,3,2,1261,6049,CURRENT,34.0615579701,-117.96839727
8464-009-006,"1450 MAYLAND AVE, LA PUENTE CA 91746-1033",Single Family Residence,437999,1957,3,2,1141,5885,CURRENT,34.0614388183,-117.968524705
8464-009-007,"1444 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,730360,1957,3,2,1251,6015,CURRENT,34.0613192351,-117.96865103
8464-009-008,"1438 MAYLAND AVE, LA PUENTE CA 91746-1033",Single Family Residence,414482,1957,3,2,1589,6028,CURRENT,34.061198194,-117.968779146
8464-009-009,"1434 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,411627,1957,3,2,1124,5983,CURRENT,34.0610776337,-117.968907294
8464-009-010,"1428 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,138911,1957,3,2,1312,5997,CURRENT,34.0609569443,-117.969034832
8464-009-011,"1424 MAYLAND AVE, LA PUENTE CA 91746-1033",Single Family Residence,120068,1957,3,2,1261,5995,CURRENT,34.060836303,-117.969162922
8464-009-012,"1416 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,228076,1957,3,2,1251,5993,CURRENT,34.0607154538,-117.969290799
8464-009-013,"1410 MAYLAND AVE, LA PUENTE CA 91746-1033",Single Family Residence,440717,1957,4,2,1312,5980,CURRENT,34.0605946919,-117.969418729
8464-009-014,"1404 MAYLAND AVE, VALINDA CA 91746-1033",Single Family Residence,269703,1957,3,2,1146,6364,CURRENT,34.0604701407,-117.969550973
8464-009-015,"1403 N SIESTA AVE, LA PUENTE CA 91746-1150",Single Family Residence,785000,1957,3,2,1396,6632,CURRENT,34.0602921586,-117.969287768
8464-009-016,"1409 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,83563,1957,3,2,1557,6029,CURRENT,34.0604152355,-117.969153657
8464-009-017,"1415 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,126766,1957,5,2,1952,6021,CURRENT,34.060533765,-117.969027917
8464-009-018,"1421 N SIESTA AVE, LA PUENTE CA 91746-1150",Single Family Residence,101230,1957,3,2,1873,6030,CURRENT,34.0606523287,-117.968902224
8464-009-019,"1427 N SIESTA AVE, LA PUENTE CA 91746-1150",Single Family Residence,66944,1957,3,2,1339,6006,CURRENT,34.0607706466,-117.968776464
8464-009-020,"1433 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,430057,1957,4,2,2033,6054,CURRENT,34.0608896481,-117.968650943
8464-009-021,"1437 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,371528,1957,4,3,1870,6002,CURRENT,34.061008012,-117.96852462
8464-009-022,"1443 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,275924,1957,3,2,1124,6013,CURRENT,34.0611265134,-117.968399373
8464-009-023,"1449 N SIESTA AVE, VALINDA CA 91746-1150",Single Family Residence,395642,1957,3,2,1147,6018,CURRENT,34.0612450524,-117.968273628
