ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8485-029-002,"2113 E VINE AVE, WEST COVINA CA 91791-3216",Single Family Residence,222868,1954,2,2,1456,10573,CURRENT,34.0576608751,-117.900778647
8485-029-003,"2121 E VINE AVE, WEST COVINA CA 91791-3216",Single Family Residence,1125649,1954,4,3,2207,11659,CURRENT,34.0576577089,-117.900501921
8485-029-004,"2127 E VINE AVE, WEST COVINA CA 91791-3216",Single Family Residence,368390,1955,3,2,2003,11114,CURRENT,34.0576557179,-117.900218161
8485-029-005,"2135 E VINE AVE, WEST COVINA CA 91791-3216",Single Family Residence,691908,1954,3,2,1619,11633,CURRENT,34.0576531079,-117.899934394
8485-029-006,"2141 E VINE AVE, WEST COVINA CA 91791-3216",Single Family Residence,641418,1953,3,2,1471,10994,CURRENT,34.0576511595,-117.899651856
8485-029-007,"2149 E VINE AVE, WEST COVINA CA 91791-3216",Single Family Residence,907403,1953,3,2,1515,11334,CURRENT,34.0576509598,-117.899372568
8485-029-008,"2104 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,462480,1956,3,2,1685,9806,CURRENT,34.0580214526,-117.901176077
8485-029-009,"2110 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,941778,1958,3,2,1533,9858,CURRENT,34.058019498,-117.900922261
8485-029-010,"2116 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,1175000,1956,3,3,1950,10159,CURRENT,34.0580171286,-117.900663687
8485-029-011,"2122 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,700325,1961,3,2,1643,10224,CURRENT,34.0580149948,-117.90040003
8485-029-012,"2128 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,966177,1957,3,2,1824,10107,CURRENT,34.058011772,-117.900136837
8485-029-013,"2136 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,426144,1956,3,2,1710,10182,CURRENT,34.0580094745,-117.899873971
8485-029-014,"2142 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,205152,1956,3,2,1774,10191,CURRENT,34.0580068096,-117.899609779
8485-029-015,"2148 E THACKERY ST, WEST COVINA CA 91791-3241",Single Family Residence,194581,1958,3,2,2261,9789,CURRENT,34.0580025268,-117.899350283
8486-001-010,"621 S AZUSA AVE, WEST COVINA CALIF",Other Property Type,0,,,,,,CURRENT,,
