ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8490-007-001,"1205 S LARK ELLEN AVE, WEST COVINA CA 91791-3800",Single Family Residence,495414,1960,3,2,1643,11660,CURRENT,34.0535853806,-117.91706631
8490-007-002,"1340 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,683014,1997,4,3,2866,11313,CURRENT,34.0535898754,-117.917309718
8490-007-003,"1334 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,584229,1953,4,3,2457,10766,CURRENT,34.0535917527,-117.917543597
8490-007-004,"1328 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,395642,1947,3,2,1341,10873,CURRENT,34.0535936195,-117.917772692
8490-007-005,"1324 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,668006,1961,3,2,1323,10917,CURRENT,34.0535954989,-117.918003336
8490-007-006,"1318 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,700331,1949,3,2,1221,11092,CURRENT,34.0535973501,-117.91823624
8490-007-007,"1312 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,669158,1947,2,1,1422,10422,CURRENT,34.0535991923,-117.918463876
8490-007-008,"1308 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,595771,1947,3,2,1834,10701,CURRENT,34.0536010243,-117.918687334
8490-007-009,"1300 E MERCED AVE, WEST COVINA CA 91790-5331",Single Family Residence,715768,1947,3,2,1621,10695,CURRENT,34.0536027942,-117.918913637
8490-007-010,"1248 E MERCED AVE, WEST COVINA CA 91790-5328",Single Family Residence,129321,1949,2,1,1240,10927,CURRENT,34.0536046564,-117.919142296
8490-007-011,"1240 E MERCED AVE, WEST COVINA CA 91790-5328",Single Family Residence,347118,1947,5,3,2410,10647,CURRENT,34.0536064731,-117.919370407
8490-007-012,"1236 E MERCED AVE, WEST COVINA CA 91790-5328",Single Family Residence,333093,1948,2,1,1020,10755,CURRENT,34.053608331,-117.919596665
8490-007-013,"1232 E MERCED AVE, WEST COVINA CA 91790-5328",Single Family Residence,217656,1948,2,1,1712,10699,CURRENT,34.053610146,-117.919823422
8490-007-014,"1204 S PRIMEAUX AVE, WEST COVINA CA 91790-5340",Single Family Residence,68192,1952,3,1,1762,9702,CURRENT,34.0537409368,-117.920190743
8490-007-015,"1208 S PRIMEAUX AVE, WEST COVINA CA 91790-5340",Single Family Residence,385478,1948,2,2,1364,10344,CURRENT,34.0535653899,-117.920196335
8490-007-016,"1212 S PRIMEAUX AVE, WEST COVINA CA 91790-5340",Single Family Residence,309911,1950,3,2,1474,10190,CURRENT,34.0533859185,-117.920198988
8490-007-017,"1216 S PRIMEAUX AVE, WEST COVINA CA 91790-5340",Single Family Residence,80702,1950,4,2,2065,10822,CURRENT,34.0532024336,-117.920201804
8490-007-018,"1225 E MICHELLE ST, WEST COVINA CA 91790-5334",Single Family Residence,169506,1949,2,1,1015,8547,CURRENT,34.053033247,-117.920200659
8490-007-019,"1231 E MICHELLE ST, WEST COVINA CA 91790-5334",Single Family Residence,591893,1951,3,1,1044,11028,CURRENT,34.0531745243,-117.919828936
8490-007-020,"1237 E MICHELLE ST, WEST COVINA CA 91790-5334",Single Family Residence,329775,1947,3,3,2333,11077,CURRENT,34.0531726819,-117.919602176
8490-007-021,"1241 E MICHELLE ST, WEST COVINA CA 91790-5334",Single Family Residence,67194,1947,2,1,1120,10982,CURRENT,34.0531707604,-117.919375985
8490-007-022,"1249 E MICHELLE ST, WEST COVINA CA 91790-5334",Single Family Residence,557755,1947,2,1,1139,11277,CURRENT,34.053168863,-117.919147876
8490-007-023,"1301 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,68691,1947,2,1,1193,11053,CURRENT,34.0531669304,-117.918919127
8490-007-024,"1305 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,317314,1948,3,2,2087,11051,CURRENT,34.0531650815,-117.918692825
8490-007-025,"1311 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,549292,1948,3,1,1139,10777,CURRENT,34.0531631911,-117.918469441
8490-007-026,"1317 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,856700,1949,3,2,1789,11477,CURRENT,34.0531612923,-117.918241828
8490-007-027,"1325 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,301295,1948,3,1,1859,11303,CURRENT,34.0531593569,-117.918008908
8490-007-028,"1329 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,292601,1953,3,2,1537,11273,CURRENT,34.0531574157,-117.917778213
8490-007-029,"1335 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,514454,1950,3,1,1852,11157,CURRENT,34.0531555523,-117.917549086
8490-007-030,"1341 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,582283,1966,4,3,1902,11711,CURRENT,34.0531536169,-117.917315641
8490-007-031,"1345 E MICHELLE ST, WEST COVINA CA 91790-5336",Single Family Residence,707952,1952,2,2,1601,12068,CURRENT,34.0531533542,-117.917072749
8490-008-001,"1147 S LARK ELLEN AVE, WEST COVINA CA 91791-3500",Single Family Residence,579583,1952,3,2,1371,9079,CURRENT,34.0545426273,-117.917061078
