ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8480-015-039,"2834 E ROSEMARY DR, WEST COVINA CA 91791-2231",Single Family Residence,947417,1964,4,4,3793,15379,CURRENT,34.06556575,-117.8841715
8480-015-040,"2828 E ROSEMARY DR, WEST COVINA CA 91791-2231",Single Family Residence,1179156,1963,5,3,3074,13263,CURRENT,34.06559207,-117.88454256
8480-015-041,"2824 E ROSEMARY DR, WEST COVINA CA 91791-2231",Single Family Residence,1230999,1963,4,3,2465,13315,CURRENT,34.0655948813,-117.884874705
8480-015-042,"2816 E ROSEMARY DR, WEST COVINA CA 91791-2231",Single Family Residence,700719,1963,5,3,2985,14538,CURRENT,34.0655751536,-117.885234114
8480-015-043,"421 S EMERALD AVE, WEST COVINA CA 91791-2214",Single Family Residence,977515,1961,6,5,4271,13427,CURRENT,34.0660530331,-117.885645316
8480-015-044,"429 S EMERALD AVE, WEST COVINA CA 91791-2214",Single Family Residence,979599,1962,4,3,2440,18523,CURRENT,34.0656495518,-117.88560865
8480-015-045,"529 S BARRANCA ST, WEST COVINA CA 91791-2211",Single Family Residence,559560,1953,3,2,1496,20030,CURRENT,34.0646292467,-117.881727741
8480-015-046,",",Vacant Land,0,,,,,,CURRENT,,
8480-015-047,"2949 E CORTEZ ST, WEST COVINA CA 91791-2911",Single Family Residence,1375407,1996,5,4,4114,19722,CURRENT,34.0643026141,-117.881790018
8480-015-048,",",Single Family Residence,432972,,,,,16030,DELINQUENT,34.06514158,-117.88457778
8480-015-049,"2825 E CORTEZ ST, WEST COVINA CA 91791-2910",Single Family Residence,920066,1956,3,3,2262,27535,CURRENT,34.06511258,-117.88443718
8480-016-001,"150 S CITRUS ST, WEST COVINA CA 91791-2142",Commercial,1698826,1981,0,0,2460,17423,CURRENT,34.0701299027,-117.889776856
8480-016-002,"200 S CITRUS ST, WEST COVINA CA 91791-2144",Commercial,10283636,1964,0,0,13975,113665,CURRENT,34.0698008589,-117.889407688
8480-016-003,"2646 E GARVEY AVE S, WEST COVINA CA 91791-2113",Commercial,0,,,,,160175,CURRENT,34.070212637350856,-117.8886183919217
8480-016-004,"2710 E GARVEY AVE S, WEST COVINA CA 91791-2114",Commercial,0,,,,,,CURRENT,,
8480-016-005,",",Vacant Land,0,,,,,,CURRENT,,
8480-016-006,",",Vacant Land,0,,,,,53195,CURRENT,34.06839840130214,-117.88822972544294
8480-016-007,",",Vacant Land,0,,,,,,CURRENT,,
8480-016-008,"2710 E GARVEY AVE, WEST COVINA CALIF",Recreational,0,,,,,,CURRENT,,
8480-016-009,",",Vacant Land,0,,,,,170339,CURRENT,34.068754097383724,-117.8873302650547
8480-016-010,"2700 E GARVEY AVE, SOUTH, WEST COVIN CA 91791-0000",Commercial,0,,,,,,CURRENT,,
8480-016-011,"2748 E GARVEY AVE S, WEST COVINA CA 91791-2114",Commercial,0,,,,,,CURRENT,,
8480-016-012,"320 S CITRUS ST, WEST COVINA CA 91791-2109",Multi-Family Residence,13933599,1973,0,0,69637,126331,CURRENT,34.068334748,-117.889522313
8480-016-013,"330 S CITRUS ST, WEST COVINA CA 91791-2109",Other Property Type,0,,,,,205539,CURRENT,34.06774519471966,-117.8885190146883
8480-016-014,"2640 E GARVEY AVE S, WEST COVINA CA 91791-2156",Commercial,2900344,1990,0,0,10712,20038,CURRENT,34.0714893439,-117.8884491
8480-016-015,",",Vacant Land,0,,,,,,CURRENT,,
8480-016-016,"2710 E GARVEY AVE S, WEST COVINA CA 91791-2114",Recreational,0,,,,,,CURRENT,,
8480-016-017,"2700 E GARVEY AVE S, WEST COVINA CA 91791-2114",Commercial,0,,,,,,CURRENT,,
8480-016-018,"2748 E GARVEY AVE S, WEST COVINA CA 91791-2114",Commercial,0,,,,,,CURRENT,,
8480-016-019,",",Vacant Land,0,,,,,,CURRENT,,
8480-016-020,"2710 E GARVEY AVE S, WEST COVINA CA 91791-2114",Industrial,0,,,,,,CURRENT,,
8480-016-021,"2700 E GARVEY AVE S, WEST COVINA CA 91791-2114",Commercial,8886757,1972,0,0,5664,171474,CURRENT,34.0710439926,-117.886984358
