ain,address,useType,assessed,yearBuilt,beds,baths,bldg,lot,taxStatus,latitude,longitude
8467-043-017,"1493 OUTRIGGER, WEST COVINA CA 91790-3393",Single Family Residence,509635,1993,3,3,1801,3078,CURRENT,34.0578489385,-117.950970488
8467-043-018,"1501 OUTRIGGER, WEST COVINA CA 91790-3396",Single Family Residence,391461,1993,3,3,1380,3081,CURRENT,34.057914305,-117.951059648
8467-043-019,"1507 OUTRIGGER, WEST COVINA CA 91790-3396",Single Family Residence,826200,1993,2,3,1531,3077,CURRENT,34.0579803791,-117.951148725
8467-043-020,"1486 OUTRIGGER, WEST COVINA CA 91790-3395",Single Family Residence,346705,1993,2,3,1531,2854,CURRENT,34.0575242704,-117.951085749
8467-043-021,"1492 OUTRIGGER, WEST COVINA CA 91790-3395",Single Family Residence,436283,1993,3,3,1801,2910,DELINQUENT,34.0575880174,-117.951175042
8467-043-022,"1498 OUTRIGGER, WEST COVINA CA 91790-3395",Single Family Residence,506891,1993,3,3,1428,2918,CURRENT,34.0576532413,-117.951264165
8467-043-023,"1502 OUTRIGGER, WEST COVINA CA 91790-3394",Single Family Residence,388306,1993,3,3,1801,2919,CURRENT,34.0577186265,-117.951353359
8467-043-024,"1508 OUTRIGGER, WEST COVINA CA 91790-3394",Single Family Residence,358839,1993,3,3,1380,2918,CURRENT,34.05778401,-117.951442565
8467-043-025,"1512 OUTRIGGER, W COVINA CA 91790-3394",Single Family Residence,493721,1993,3,3,1801,2919,CURRENT,34.0578494467,-117.951531698
8467-043-026,"1522 OUTRIGGER, WEST COVINA CA 91790-3394",Single Family Residence,641419,1993,2,3,1531,2918,CURRENT,34.0579148506,-117.951620871
8467-043-027,"1530 OUTRIGGER, WEST COVINA CA 91790-3397",Single Family Residence,370977,1993,3,3,1428,2919,CURRENT,34.0579802493,-117.951710071
8467-043-028,"1531 RAINFOREST, WEST COVINA CA 91790-5702",Single Family Residence,450555,1992,3,3,1428,3077,CURRENT,34.0578319398,-117.951923746
8467-043-029,"1523 RAINFOREST, WEST COVINA CA 91790-5702",Single Family Residence,458445,1992,2,3,1531,3079,CURRENT,34.0577665377,-117.951834554
8467-043-030,"1513 RAINFOREST, WEST COVINA CA 91790-5702",Single Family Residence,371321,1992,3,3,1801,3077,CURRENT,34.0577011236,-117.951745371
8467-043-031,"1509 RAINFOREST, WEST COVINA CA 91790-5702",Single Family Residence,318859,1992,3,3,1380,3075,CURRENT,34.0576357456,-117.95165626
8467-043-032,"1505 RAINFOREST, WEST COVINA CA 91790-5702",Single Family Residence,294200,1992,2,3,1531,3080,CURRENT,34.0575703177,-117.951567203
8467-043-033,"1497 RAINFOREST, WEST COVINA CA 91790-5700",Single Family Residence,463389,1992,3,3,1428,3080,CURRENT,34.0575049102,-117.951478017
8467-043-034,"1491 RAINFOREST, WEST COVINA CA 91790-5700",Single Family Residence,384845,1992,3,3,1801,3080,CURRENT,34.0574395113,-117.951388831
8467-043-035,"1485 RAINFOREST, WEST COVINA CA 91790-5700",Single Family Residence,371317,1992,3,3,1380,3077,CURRENT,34.0573742463,-117.951299485
8467-043-036,",",Vacant Land,9,,,,,1013,CURRENT,34.0569037372,-117.951071041
8467-043-037,",",Vacant Land,9,,,,,1537,CURRENT,34.0573698137,-117.950580881
8467-043-038,",",Vacant Land,9,,,,,9608,CURRENT,34.0579975374,-117.950792449
8467-043-039,",",Vacant Land,9,,,,,297,CURRENT,34.0580476501,-117.951169659
8467-043-040,",",Vacant Land,9,,,,,614,CURRENT,34.0569834832,-117.951530157
8467-043-041,",",Vacant Land,9,,,,,364,CURRENT,34.0573351955,-117.951252063
8467-043-042,",",Vacant Land,9,,,,,620,CURRENT,34.0574786265,-117.951034432
8467-043-043,",",Vacant Land,9,,,,,17359,CURRENT,34.0578183306,-117.950565732
8467-043-044,",",Vacant Land,9,,,,,4449,CURRENT,34.0577648644,-117.951140403
8467-043-045,",",Vacant Land,9,,,,,9503,CURRENT,34.0574778216,-117.951735574
8467-043-046,",",Vacant Land,9,,,,,14796,CURRENT,34.0572969788,-117.951165128
8467-043-047,",",Vacant Land,9,,,,,4638,CURRENT,34.057454154,-117.950964108
8467-025-001,"2002 W LUFKIN ST, WEST COVINA CA 91790-3245",Single Family Residence,550457,1957,3,2,1657,7376,CURRENT,34.0594002925,-117.96118135
